 ,Mean1,Mean2,Mean3,Mean4
256,2882.854,4041.450,4017.572,3697.159
257,2890.750,4064.550,4026.619,3720.318
258,2885.083,4088.200,4018.810,3703.773
259,2896.958,4060.050,3997.262,3709.136
260,2879.833,4067.500,4024.452,3717.432
261,2886.458,4050.100,4021.786,3701.386
262,2889.750,4066.000,4020.786,3706.795
263,2886.979,4059.400,4015.500,3704.068
264,2879.000,4029.200,4019.857,3722.818
265,2870.417,4061.400,4021.762,3701.523
266,2887.042,4029.150,4022.381,3696.705
267,2883.542,4042.250,4025.024,3687.955
268,2882.938,4067.800,4017.810,3688.477
269,2873.708,4068.850,3995.643,3710.795
270,2870.104,4048.100,4017.690,3693.909
271,2873.729,4058.700,4024.667,3694.114
272,2885.000,4028.150,3993.428,3720.386
273,2883.354,4066.000,4024.572,3703.795
274,2877.250,4039.350,4020.190,3711.659
275,2876.646,4039.700,4021.905,3697.455
276,2859.354,4065.400,4015.714,3695.091
277,2876.167,4055.250,4027.643,3681.955
278,2874.938,4030.450,4014.143,3723.114
279,2865.667,4076.850,4036.476,3707.364
280,2882.688,4060.150,4018.690,3695.227
281,2869.542,4049.500,4019.952,3691.341
282,2873.875,4082.000,4011.667,3701.591
283,2874.812,4021.650,4016.952,3715.341
284,2860.083,4056.200,4016.667,3717.636
285,2870.542,4057.900,4012.857,3718.773
286,2873.854,4055.250,4039.119,3699.523
287,2874.875,4056.850,3998.476,3722.250
288,2873.521,4053.250,4026.048,3713.250
289,2867.000,4070.550,4018.428,3715.023
290,2876.417,4039.250,4017.952,3717.432
291,2873.375,4028.650,4023.619,3717.159
292,2856.875,4053.450,3998.762,3710.318
293,2868.125,4057.450,4005.333,3720.182
294,2876.042,4065.400,4042.952,3714.818
295,2873.021,4054.000,4012.548,3707.523
296,2881.062,4046.350,4020.833,3711.295
297,2879.146,4041.850,4040.738,3710.795
298,2896.229,4030.100,4018.548,3713.591
299,2880.375,4057.300,4027.214,3701.795
300,2874.604,4029.800,4006.690,3716.682
301,2870.500,4041.450,4010.405,3715.568
302,2895.500,4039.000,4020.048,3708.591
303,2885.271,4051.450,4006.024,3707.841
304,2875.125,4029.850,4021.643,3698.977
305,2877.188,4042.200,4007.238,3700.500
306,2871.312,4063.150,4020.072,3713.364
307,2884.083,4040.050,4012.810,3714.682
308,2875.292,4053.550,4014.428,3717.932
309,2886.104,4053.400,4019.762,3716.273
310,2877.896,4054.050,4029.905,3714.500
311,2884.688,4041.950,4012.643,3707.045
312,2885.146,4039.400,4014.548,3693.795
313,2883.000,4050.300,4019.476,3693.227
314,2885.208,4046.150,4025.381,3718.227
315,2886.792,4048.600,3997.786,3716.568
316,2896.167,4044.750,4024.095,3710.955
317,2900.646,4039.750,4013.928,3727.864
318,2896.688,4045.000,4007.428,3711.136
319,2895.312,4018.650,4008.690,3693.091
320,2895.125,4048.750,4033.643,3712.682
321,2882.750,4056.700,4009.905,3710.386
322,2893.083,4046.650,4023.214,3723.114
323,2896.104,4065.750,4009.238,3714.955
324,2901.896,4055.100,4014.405,3737.500
325,2885.854,4036.800,4015.452,3734.273
326,2903.229,4053.300,3997.667,3734.500
327,2902.896,4031.100,4008.048,3743.500
328,2907.667,4045.100,4022.690,3751.886
329,2895.021,4053.050,3997.595,3751.136
330,2918.521,4046.400,4007.381,3749.205
331,2894.146,4074.450,4033.595,3752.318
332,2911.125,4076.400,4012.190,3720.636
333,2896.979,4063.700,4026.762,3765.250
334,2911.000,4065.000,3996.762,3733.136
335,2909.604,4062.800,4039.738,3722.523
336,2922.833,4071.050,3996.119,3717.750
337,2909.229,4073.600,4019.357,3723.159
338,2902.625,4039.750,4015.119,3724.591
339,2921.375,4052.300,4025.143,3716.682
340,2901.396,4052.000,4019.643,3713.727
341,2905.708,4032.850,3992.095,3717.773
342,2924.083,4077.950,3997.714,3731.636
343,2916.208,4055.700,4036.762,3717.477
344,2905.500,4051.650,4010.357,3726.955
345,2914.896,4051.200,4009.690,3725.682
346,2906.667,4076.400,4014.476,3715.614
347,2914.271,4061.400,4032.357,3751.977
348,2924.083,4077.550,4030.952,3716.227
349,2900.042,4065.550,3998.976,3715.318
350,2931.938,4085.350,3982.119,3735.364
351,2927.583,4060.450,4008.548,3723.455
352,2919.708,4055.350,4032.857,3716.068
353,2927.938,4062.050,3998.072,3732.795
354,2924.188,4061.850,3991.667,3729.295
355,2923.708,4077.000,4018.833,3710.477
356,2925.729,4052.600,4003.095,3714.727
357,2933.479,4065.900,4003.405,3701.068
358,2922.979,4035.250,4022.262,3705.068
359,2944.208,4081.450,4008.643,3707.000
360,2942.438,4043.350,4004.452,3716.727
361,2943.104,4037.050,4025.476,3713.386
362,2919.812,4042.600,4016.262,3710.773
363,2941.375,4084.050,4015.048,3699.477
364,2941.083,4072.200,4002.119,3721.659
365,2942.500,4054.950,4024.095,3724.773
366,2933.979,4096.350,4028.500,3724.773
367,2934.771,4071.500,4005.810,3686.341
368,2918.062,4071.350,4013.119,3718.068
369,2938.417,4067.300,4035.357,3716.000
370,2940.396,4075.100,4015.286,3706.500
371,2928.875,4093.000,4000.524,3719.205
372,2920.146,4069.500,4012.428,3716.409
373,2930.896,4091.300,4017.500,3708.977
374,2933.938,4099.800,4034.452,3739.750
375,2915.292,4072.950,4025.333,3707.273
376,2932.125,4040.300,4007.762,3715.841
377,2941.000,4059.250,4029.238,3702.341
378,2930.500,4084.300,4030.143,3714.841
379,2923.542,4077.550,4030.572,3710.841
380,2928.250,4085.050,4021.548,3713.182
381,2928.104,4067.900,4016.928,3710.636
382,2935.562,4075.150,4026.667,3713.818
383,2925.125,4069.800,4037.262,3698.273
384,2911.479,4077.900,4007.190,3712.955
385,2925.312,4066.350,4004.048,3705.227
386,2915.500,4053.650,4007.619,3710.932
387,2925.958,4078.150,4016.428,3700.318
388,2930.104,4066.300,4021.690,3712.477
389,2915.750,4074.400,4025.214,3705.159
390,2907.354,4062.600,4022.714,3707.886
391,2916.271,4085.950,4038.310,3710.477
392,2914.938,4026.100,4016.810,3714.955
393,2922.604,4035.100,4014.048,3722.295
394,2910.896,4049.450,4030.524,3702.455
