 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
64,3206.000,3086.556,4416.909,4015.586,3783.731,3333.318,3943.000,2992.375,4186.500,4505.500,4493.095,4388.905,4201.969,4380.000
65,3170.000,3059.667,4359.636,4013.172,3787.269,3335.659,3910.250,3027.625,4162.000,4485.500,4471.762,4400.048,4192.062,4346.500
66,3211.182,3102.889,4405.636,4038.776,3781.115,3320.068,3937.500,2994.875,4264.000,4515.700,4487.333,4384.762,4184.812,4360.125
67,3228.364,3134.889,4383.909,4030.983,3825.808,3337.659,3970.500,3004.875,4164.500,4489.000,4465.000,4394.810,4177.812,4339.000
68,3185.000,3098.222,4409.636,4027.828,3813.654,3348.114,3980.000,3003.750,4197.000,4514.800,4473.857,4361.143,4170.500,4346.750
69,3216.364,3082.889,4412.727,4037.069,3774.731,3328.477,3997.000,2994.500,4243.500,4529.400,4507.286,4358.762,4219.250,4384.625
70,3216.000,3117.222,4376.273,4029.845,3798.500,3334.955,3916.500,3012.125,4260.500,4496.500,4443.333,4392.048,4175.594,4353.875
71,3204.091,3124.889,4455.909,4041.259,3816.423,3330.318,4012.750,2975.250,4187.500,4488.300,4481.905,4389.810,4207.312,4349.000
72,3221.091,3086.111,4395.727,4021.569,3811.846,3341.500,3937.000,2968.625,4251.500,4501.800,4487.143,4400.429,4203.219,4373.875
73,3239.909,3097.333,4421.545,4026.621,3800.077,3324.955,4006.250,2977.375,4227.000,4529.300,4465.762,4377.762,4189.875,4367.125
74,3193.818,3090.222,4410.273,4040.483,3799.269,3334.227,3930.250,2998.000,4176.000,4521.800,4456.429,4373.286,4211.875,4324.875
75,3207.091,3094.000,4388.909,4028.896,3791.885,3333.227,3908.000,3009.875,4280.500,4556.300,4507.524,4398.143,4186.781,4327.000
76,3197.727,3092.222,4380.818,4022.552,3801.500,3329.545,3997.750,3021.750,4304.500,4530.500,4456.667,4412.095,4206.969,4364.625
77,3215.909,3093.444,4389.909,4059.086,3780.500,3325.068,3931.500,3015.875,4225.000,4535.100,4445.286,4389.810,4202.031,4374.375
78,3198.182,3068.111,4373.636,4037.707,3787.346,3338.773,3935.500,3003.750,4198.500,4478.100,4460.238,4364.619,4222.156,4328.125
79,3211.000,3052.000,4387.364,4031.776,3781.923,3341.341,4016.500,3000.875,4178.000,4513.200,4508.238,4409.476,4204.000,4371.500
80,3223.727,3071.778,4401.364,4025.328,3802.346,3331.432,3934.250,3024.875,4239.500,4501.300,4475.333,4373.238,4209.562,4339.125
81,3231.455,3099.889,4366.091,4027.690,3825.923,3331.045,3941.000,2981.250,4128.500,4561.100,4493.143,4387.952,4196.969,4386.125
82,3214.545,3086.889,4414.091,4023.672,3778.154,3355.205,3937.000,3025.875,4248.000,4521.700,4464.524,4355.381,4180.031,4363.625
83,3221.636,3061.222,4390.364,4024.759,3768.039,3328.636,4002.000,2995.625,4283.500,4549.700,4497.952,4380.381,4207.969,4321.750
84,3218.909,3110.222,4355.545,4041.672,3810.769,3325.023,3952.750,3045.875,4142.500,4512.900,4447.667,4371.143,4209.938,4363.375
85,3182.818,3101.111,4374.545,4042.034,3790.154,3337.591,3956.250,2985.625,4165.000,4547.400,4503.048,4374.000,4155.906,4365.375
86,3225.182,3095.889,4390.818,4022.879,3784.577,3336.295,3946.250,2980.375,4296.000,4453.700,4483.095,4356.905,4183.531,4350.125
87,3220.818,3099.778,4380.818,4040.672,3812.885,3341.023,3910.500,2980.375,4274.500,4514.900,4465.429,4404.190,4167.188,4353.875
88,3278.636,3145.000,4385.000,4070.310,3818.769,3380.750,3977.250,3029.875,4255.500,4553.800,4486.571,4385.667,4213.500,4384.375
89,3302.455,3139.889,4420.364,4070.276,3823.885,3394.886,4049.000,3124.875,4299.000,4521.400,4513.048,4397.619,4205.188,4435.250
90,3375.364,3156.444,4435.545,4110.379,3851.615,3438.477,4009.750,3151.500,4335.500,4555.400,4504.238,4364.143,4201.125,4382.125
91,3442.636,3140.667,4458.091,4128.965,3897.192,3452.818,4129.500,3165.250,4344.000,4538.300,4516.714,4430.905,4208.094,4419.375
92,3604.545,3187.667,4471.273,4150.276,3848.692,3493.909,4098.500,3179.375,4242.000,4549.800,4544.048,4419.524,4208.125,4402.125
93,3611.000,3148.667,4483.000,4179.293,3887.385,3509.045,4098.000,3237.375,4321.500,4542.100,4539.238,4385.524,4226.812,4381.375
94,3632.273,3162.111,4497.364,4208.586,3879.385,3512.523,4167.750,3285.375,4363.000,4526.700,4485.571,4403.810,4211.219,4456.750
95,3772.182,3118.333,4487.545,4208.362,3883.885,3536.182,4133.500,3272.000,4330.500,4507.000,4501.000,4421.286,4240.781,4428.250
96,3828.545,3195.889,4475.818,4250.189,3875.269,3519.455,4183.250,3370.875,4353.500,4513.000,4499.000,4407.714,4223.188,4495.125
97,3905.545,3159.111,4471.909,4275.672,3886.346,3536.182,4101.250,3401.000,4396.000,4501.000,4489.238,4412.286,4213.781,4486.250
98,4038.636,3153.111,4483.273,4247.655,3870.923,3524.364,4062.250,3389.375,4361.000,4540.600,4520.905,4385.190,4223.000,4483.500
99,4257.364,3141.333,4460.455,4272.138,3906.692,3559.023,4163.250,3507.625,4393.500,4595.000,4523.190,4418.000,4210.875,4546.750
100,4351.364,3179.778,4473.273,4280.586,3929.846,3573.636,4127.000,3500.750,4479.500,4578.100,4537.048,4407.429,4211.750,4602.625
101,4482.545,3183.667,4471.818,4302.569,3918.615,3583.341,4145.250,3583.750,4370.500,4576.300,4548.524,4462.619,4220.688,4618.375
102,4516.909,3192.000,4510.545,4329.759,3940.769,3595.136,4144.750,3593.125,4481.500,4557.700,4518.143,4391.571,4217.750,4561.375
103,4499.091,3193.667,4538.455,4352.965,3957.269,3612.545,4232.250,3633.625,4448.500,4601.900,4531.143,4426.286,4212.781,4647.000
104,4628.909,3170.889,4504.545,4324.689,3912.192,3582.364,4310.500,3650.500,4476.000,4544.000,4529.524,4405.476,4229.719,4565.875
105,4731.909,3181.111,4466.818,4366.931,3946.346,3591.409,4226.750,3610.500,4511.500,4511.600,4523.571,4412.143,4183.094,4609.250
106,4845.000,3205.333,4488.818,4330.017,3940.769,3591.727,4196.500,3637.625,4490.000,4581.100,4519.143,4399.762,4223.031,4582.500
107,4795.455,3178.222,4497.273,4330.431,3936.615,3594.591,4225.500,3583.500,4404.500,4531.700,4518.000,4420.857,4231.062,4662.375
108,4816.455,3197.222,4486.545,4320.035,3915.154,3601.864,4271.000,3602.750,4454.500,4569.000,4517.714,4384.857,4209.594,4679.375
109,4613.636,3195.667,4450.091,4333.724,3926.385,3586.432,4217.750,3608.375,4602.500,4585.500,4513.762,4405.429,4179.094,4683.125
110,4961.818,3200.111,4500.818,4501.396,3986.961,3655.841,4277.000,4647.875,4650.500,4571.000,4481.000,4369.238,4211.219,4797.500
111,5631.909,3285.444,4537.182,4659.017,4054.077,3812.182,4343.750,5767.500,4642.500,4613.900,4526.667,4401.286,4209.688,4915.500
112,6579.909,3358.000,4523.909,4887.759,4170.731,3993.750,4534.250,6461.625,4723.000,4640.000,4524.381,4413.238,4205.594,5074.375
113,7362.000,3463.444,4591.091,5114.121,4263.615,4190.114,4628.250,6830.500,4827.500,4665.200,4512.333,4446.381,4234.219,5159.375
114,8004.364,3715.222,4554.273,5313.793,4329.615,4511.727,4758.500,6815.375,4925.000,4691.200,4508.619,4439.905,4222.531,5221.250
115,8328.091,4143.222,4593.455,5539.379,4469.231,5006.045,4837.750,6869.250,5014.500,4814.100,4526.524,4438.143,4239.562,5208.625
116,8580.728,4693.667,4651.545,5744.448,4538.115,5554.000,4938.500,6936.250,5029.500,4817.800,4562.000,4451.190,4259.062,5244.000
117,8847.272,5231.000,4636.364,5974.104,4638.808,6034.614,4947.250,6917.375,5137.000,4873.100,4557.238,4429.381,4299.562,5273.000
118,8860.272,5648.222,4644.818,6195.035,4715.346,6364.705,5222.000,6911.750,5127.500,4924.800,4547.286,4481.952,4364.375,5384.750
119,8902.818,6007.667,4686.545,6392.104,4857.154,6590.545,5308.500,6975.000,5143.500,5056.400,4536.571,4517.857,4406.531,5388.875
120,8898.000,6142.222,4696.364,6681.483,4949.539,6706.068,5447.500,6927.125,5271.500,5105.600,4582.476,4568.667,4490.312,5390.375
121,8972.182,6274.444,4718.909,6941.069,5019.231,6767.864,5619.750,6984.750,5353.500,5207.500,4602.524,4629.429,4572.750,5388.375
122,9030.546,6284.556,4710.818,7312.638,5194.615,6800.386,5815.250,6956.250,5408.500,5359.700,4534.143,4701.762,4686.219,5406.375
123,9039.182,6310.778,4779.545,7733.655,5330.500,6871.205,6077.250,6988.375,5409.500,5475.600,4609.143,4798.429,4817.750,5525.125
124,9003.272,6346.444,4857.727,8166.189,5465.385,6907.045,6168.500,6933.125,5333.500,5623.000,4589.286,4912.095,4919.438,5593.000
125,9083.909,6370.556,4921.182,8571.448,5600.115,6900.614,6278.500,6865.750,5422.500,5852.800,4630.048,4987.143,5018.812,5714.000
126,9055.182,6461.111,4939.455,8902.759,5736.500,6944.114,6291.000,6996.000,5518.500,6088.100,4697.333,5108.143,5091.688,5653.000
127,9024.909,6366.778,5224.727,9233.604,5926.846,6915.818,6509.000,6960.750,5551.000,6377.500,4778.190,5145.524,5140.844,5836.875
128,9099.182,6350.444,5286.545,9487.311,6055.154,6946.773,6406.500,6971.000,5553.500,6620.500,4793.000,5276.857,5241.469,5799.500
129,9017.091,6442.444,5495.364,9689.121,6217.000,6954.773,6435.250,6937.500,5683.500,6830.500,4846.952,5368.095,5298.562,5822.750
130,9091.728,6461.556,5639.091,9834.811,6350.769,6971.955,6464.250,6904.375,5558.000,7118.900,4943.762,5420.762,5359.250,5958.250
131,9095.546,6378.556,5695.455,9857.362,6496.961,6941.023,6485.500,6957.250,5673.500,7397.300,5037.429,5455.000,5388.219,5940.500
132,9064.000,6442.111,5864.636,9932.189,6598.923,6927.909,6552.000,6980.000,5658.500,7625.900,5154.810,5530.571,5426.312,6047.750
133,9141.091,6415.556,6011.909,9981.966,6718.692,6923.909,6520.000,6931.750,5744.000,7947.200,5252.095,5591.952,5479.031,6008.375
134,9078.272,6471.667,6137.182,9968.896,6856.731,6974.182,6560.250,6927.000,5802.500,8122.400,5375.762,5649.238,5497.312,6054.500
135,9014.000,6422.556,6294.182,10044.534,6921.308,6983.000,6569.000,6926.750,5949.500,8517.500,5492.476,5701.810,5513.875,6099.625
136,9008.091,6406.778,6387.000,10024.155,7087.885,6960.477,6568.000,6856.250,6051.000,8786.300,5578.095,5733.571,5485.156,6145.375
137,9159.546,6424.444,6598.455,10062.948,7107.385,6961.023,6511.750,6867.375,5959.000,8967.100,5679.952,5736.857,5510.375,6156.250
138,9101.546,6436.889,6634.727,10084.327,7194.346,6965.159,6629.250,6798.250,6030.000,9205.500,5801.333,5748.333,5536.750,6167.875
139,9085.818,6414.444,6751.091,10074.275,7248.308,6970.000,6512.250,6851.750,6157.500,9420.600,5831.048,5798.095,5528.562,6172.375
140,9131.363,6468.333,7065.545,10081.707,7312.923,6979.614,6493.250,6854.000,6106.000,9577.200,5891.143,5794.714,5560.812,6232.125
141,9150.546,6387.000,7238.909,10085.379,7388.961,6977.909,6483.250,6763.125,6276.500,9770.700,5988.238,5861.048,5538.000,6211.250
142,9078.091,6503.333,7251.636,10069.448,7382.346,7004.841,6604.750,6736.125,6316.000,10015.100,6067.143,5876.524,5580.562,6237.625
143,9034.818,6433.000,7412.636,10111.500,7449.192,6969.523,6569.000,6833.250,6456.000,10070.200,6076.429,5887.571,5563.906,6328.250
144,9039.091,6492.556,7510.909,10114.345,7467.654,6965.477,6654.500,6834.125,6146.000,10304.800,6150.524,5869.000,5589.000,6254.500
145,9061.818,6515.000,7621.364,10130.104,7502.885,6976.682,6630.500,6800.500,6347.500,10398.200,6187.048,5905.286,5566.656,6307.500
146,9046.637,6468.444,7639.909,10087.275,7532.269,6984.909,6710.750,6712.125,6336.000,10440.400,6183.095,5940.524,5559.625,6297.250
147,9032.454,6500.000,7676.545,10130.207,7568.461,6959.818,6707.500,6734.750,6374.000,10591.800,6257.238,5942.857,5566.781,6295.875
148,9034.909,6489.778,7664.364,10084.931,7548.077,6961.705,6669.750,6797.375,6519.500,10607.000,6324.571,5962.048,5562.094,6255.625
149,9031.091,6491.889,7754.455,10100.759,7574.577,6949.182,6657.750,6702.750,6442.000,10638.700,6319.381,5982.000,5558.781,6349.375
150,9086.546,6488.778,7763.364,10091.396,7612.654,6958.682,6715.250,6714.750,6584.000,10802.200,6307.095,5934.286,5544.562,6289.875
151,9013.000,6496.667,7833.273,10116.189,7576.346,6967.727,6653.500,6682.500,6480.000,10837.500,6357.238,5977.000,5581.875,6314.125
152,9103.363,6488.444,7792.182,10086.845,7596.961,6953.727,6749.750,6623.000,6510.500,10816.400,6349.762,5966.857,5593.031,6383.750
153,9033.000,6520.667,7921.364,10119.725,7610.077,6979.886,6834.750,6721.125,6488.500,10860.900,6348.714,5980.381,5569.125,6347.250
