 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
62,3288.830,3148.639,3451.139,4303.885,4363.516,4427.839,4433.342,4470.788,4435.064,4439.318,4409.632,4191.477,4178.406,4201.538,4172.686,3792.469
63,3289.659,3156.361,3434.389,4286.346,4342.844,4435.985,4443.291,4487.050,4465.553,4451.568,4399.882,4188.000,4167.688,4200.312,4193.058,3782.026
64,3291.284,3152.444,3456.000,4267.885,4361.969,4444.854,4431.013,4487.288,4450.234,4448.568,4405.250,4182.841,4174.875,4207.525,4203.849,3786.722
65,3299.057,3153.694,3438.500,4284.461,4358.594,4438.985,4439.101,4483.212,4441.894,4437.636,4391.750,4190.943,4177.188,4203.075,4184.756,3797.661
66,3294.670,3149.500,3448.556,4277.846,4343.000,4437.503,4431.241,4492.050,4451.553,4443.136,4402.191,4189.420,4185.406,4209.775,4195.186,3790.852
67,3299.420,3133.861,3439.167,4257.654,4354.359,4452.379,4430.215,4481.987,4443.255,4449.841,4382.706,4195.057,4152.344,4207.175,4207.628,3797.296
68,3279.080,3173.528,3431.944,4273.961,4357.938,4434.255,4431.734,4476.938,4442.702,4470.614,4406.250,4190.273,4192.344,4196.000,4191.698,3788.200
69,3279.125,3140.583,3443.139,4255.808,4344.578,4456.788,4435.405,4483.288,4439.234,4458.477,4395.676,4195.352,4171.344,4222.788,4186.477,3800.017
70,3292.420,3149.806,3465.722,4266.077,4348.734,4441.336,4436.912,4467.575,4447.404,4435.932,4404.206,4195.773,4166.719,4224.325,4201.337,3789.617
71,3289.886,3141.222,3453.889,4297.308,4352.000,4434.767,4441.228,4494.663,4452.021,4454.205,4422.000,4197.023,4180.219,4215.625,4191.093,3780.809
72,3287.920,3128.361,3432.389,4284.692,4372.734,4458.233,4418.278,4486.000,4459.127,4479.455,4411.706,4186.068,4171.156,4204.750,4198.768,3783.678
73,3290.977,3138.472,3457.139,4293.539,4341.422,4449.248,4426.620,4483.562,4459.809,4471.818,4401.529,4196.398,4171.688,4196.725,4197.872,3771.504
74,3294.932,3127.889,3434.917,4268.808,4353.500,4433.854,4435.684,4490.513,4466.745,4461.614,4404.588,4201.659,4160.750,4192.913,4190.174,3787.739
75,3289.830,3156.972,3454.167,4315.154,4348.922,4457.927,4450.101,4492.600,4441.127,4456.545,4406.088,4184.841,4181.906,4205.950,4207.407,3802.600
76,3299.193,3150.556,3445.028,4265.192,4360.547,4444.934,4432.570,4484.487,4455.340,4451.636,4387.059,4195.670,4186.594,4204.925,4201.872,3793.322
77,3279.420,3161.472,3438.111,4274.923,4378.109,4453.832,4419.038,4475.625,4444.681,4468.750,4404.779,4198.659,4172.219,4201.075,4192.256,3781.322
78,3286.352,3152.222,3448.750,4249.461,4332.641,4447.956,4437.354,4479.112,4445.234,4457.227,4404.191,4208.511,4188.281,4219.288,4183.558,3786.704
79,3289.420,3137.278,3438.889,4294.885,4356.656,4446.431,4446.937,4497.812,4442.404,4465.318,4398.118,4196.193,4178.781,4201.975,4184.616,3784.009
80,3298.727,3148.361,3439.056,4290.654,4363.562,4455.978,4433.607,4483.138,4432.958,4475.750,4401.515,4188.466,4186.812,4207.062,4207.698,3787.635
81,3280.398,3169.833,3460.167,4320.192,4356.312,4448.431,4437.595,4509.013,4460.724,4472.068,4401.868,4197.023,4200.938,4208.025,4214.000,3784.304
82,3293.182,3143.194,3406.667,4285.885,4361.172,4454.285,4452.886,4484.725,4458.021,4482.909,4401.426,4200.648,4190.875,4200.712,4211.721,3782.426
83,3292.477,3142.500,3424.639,4278.923,4366.203,4453.671,4448.114,4499.875,4451.745,4474.614,4406.162,4200.920,4188.625,4210.000,4196.104,3789.617
84,3282.398,3163.694,3446.611,4271.154,4362.453,4452.577,4461.114,4490.825,4443.575,4463.045,4400.162,4200.091,4181.406,4205.688,4204.942,3791.852
85,3285.159,3138.472,3450.167,4304.461,4345.953,4443.292,4436.848,4491.538,4439.468,4447.932,4389.338,4196.375,4179.438,4203.600,4200.000,3790.513
86,3292.955,3149.861,3440.444,4249.000,4340.500,4451.489,4444.228,4477.375,4443.085,4464.477,4409.368,4195.170,4156.250,4216.163,4203.977,3771.365
87,3291.614,3164.667,3446.667,4238.769,4347.078,4453.329,4426.253,4509.337,4451.255,4464.091,4406.912,4206.966,4193.312,4209.750,4199.907,3782.652
88,3278.659,3161.278,3448.722,4278.077,4361.375,4471.737,4453.304,4485.587,4448.362,4449.250,4394.618,4200.045,4190.719,4214.675,4200.732,3802.435
89,3292.375,3171.639,3426.306,4285.731,4353.562,4455.482,4444.620,4476.388,4453.830,4456.932,4403.074,4190.341,4184.000,4179.275,4197.465,3794.974
90,3296.273,3168.444,3445.833,4293.654,4368.469,4468.277,4437.139,4493.375,4480.425,4449.409,4397.103,4196.000,4175.312,4203.150,4201.128,3804.043
91,3291.386,3147.250,3438.222,4296.692,4368.281,4455.489,4440.468,4499.200,4431.724,4487.250,4416.294,4203.034,4182.875,4216.837,4194.151,3785.348
92,3289.295,3139.278,3443.306,4288.846,4357.250,4462.146,4448.620,4476.950,4458.936,4482.386,4402.956,4204.716,4193.219,4213.788,4201.698,3789.983
93,3280.591,3162.944,3449.472,4267.539,4352.547,4447.905,4427.759,4489.700,4446.383,4482.455,4407.426,4205.898,4187.000,4209.862,4187.977,3786.722
94,3287.864,3153.611,3456.806,4289.615,4377.422,4454.518,4443.633,4488.300,4464.383,4465.455,4394.485,4198.841,4202.250,4205.975,4200.256,3780.070
95,3294.023,3145.750,3439.306,4297.461,4360.562,4445.832,4466.304,4466.925,4444.936,4484.386,4380.765,4201.750,4187.906,4215.237,4190.349,3788.844
96,3291.682,3144.361,3457.556,4287.346,4331.766,4460.190,4429.076,4492.888,4456.319,4442.227,4408.559,4205.841,4203.281,4193.075,4185.988,3779.774
97,3293.420,3152.056,3441.556,4279.115,4358.375,4445.197,4428.975,4505.112,4464.064,4456.568,4418.412,4186.659,4153.500,4204.300,4192.802,3791.409
98,3294.864,3145.861,3443.472,4306.039,4353.156,4448.701,4449.076,4485.513,4480.213,4455.455,4409.015,4200.761,4169.906,4203.000,4204.244,3795.661
99,3279.614,3154.889,3446.417,4307.039,4383.625,4459.927,4436.874,4485.150,4446.489,4470.318,4388.676,4198.023,4163.438,4206.075,4219.826,3782.356
100,3301.148,3141.556,3445.111,4289.615,4376.047,4457.109,4434.278,4479.700,4463.340,4471.795,4396.691,4186.125,4179.406,4234.550,4200.732,3785.844
101,3293.523,3167.583,3453.444,4276.308,4350.141,4451.759,4451.532,4491.525,4471.511,4478.773,4414.471,4191.886,4171.062,4212.462,4202.082,3779.557
102,3286.739,3145.889,3456.528,4276.385,4358.656,4466.307,4449.177,4497.462,4461.873,4457.636,4409.294,4194.807,4185.375,4205.663,4197.791,3778.904
103,3287.102,3146.333,3444.583,4288.039,4355.016,4466.810,4457.013,4498.725,4452.745,4464.659,4394.176,4194.557,4170.656,4206.163,4188.407,3779.887
104,3295.580,3162.028,3447.278,4311.000,4359.547,4451.730,4442.342,4492.375,4438.362,4475.841,4404.779,4202.580,4189.688,4213.788,4209.721,3789.217
105,3295.739,3147.361,3453.667,4278.885,4377.375,4460.307,4431.810,4496.788,4466.936,4457.818,4406.662,4211.318,4176.406,4187.462,4211.093,3794.017
106,3289.080,3161.028,3456.528,4276.346,4351.484,4447.978,4442.253,4482.888,4457.404,4472.250,4390.574,4210.989,4187.250,4207.650,4197.104,3797.583
107,3294.966,3157.444,3437.139,4277.654,4387.484,4459.482,4438.912,4481.688,4455.149,4483.841,4404.912,4187.057,4170.625,4216.725,4191.372,3793.209
108,3290.239,3128.250,3440.250,4278.077,4361.891,4465.745,4437.962,4493.850,4471.851,4466.455,4394.603,4194.818,4208.125,4211.288,4189.628,3796.591
109,3287.375,3137.389,3433.667,4295.077,4372.688,4454.649,4441.481,4503.375,4465.106,4487.477,4407.029,4220.080,4205.656,4198.875,4196.942,3792.278
110,3276.784,3123.528,3470.028,4299.500,4372.797,4469.255,4443.063,4475.275,4441.830,4467.977,4410.985,4204.773,4205.375,4207.900,4181.756,3781.287
111,3291.091,3199.611,3562.139,4302.731,4376.672,4466.649,4449.253,4495.800,4477.404,4528.159,4400.632,4229.330,4242.938,4200.188,4206.721,3783.904
112,3328.227,3298.111,3842.750,4295.154,4370.500,4464.883,4440.899,4497.712,4604.000,4734.409,4429.176,4224.523,4434.000,4218.763,4206.977,3798.852
113,3370.227,3487.194,4190.500,4388.154,4378.188,4480.606,4468.367,4533.700,4788.064,5000.227,4495.250,4214.250,4644.938,4206.688,4209.674,3796.113
114,3577.159,3731.028,4477.806,4469.654,4389.031,4482.810,4567.671,4673.925,5034.575,5224.136,4563.809,4221.295,4874.906,4241.612,4226.442,3802.548
115,3889.227,4033.889,4712.556,4506.885,4395.797,4506.066,4709.278,4723.800,5287.042,5374.841,4640.588,4283.625,4984.656,4303.212,4303.663,3812.591
116,4223.966,4284.028,4831.667,4615.923,4414.781,4534.438,4842.874,4783.525,5434.106,5505.841,4706.294,4403.989,5073.812,4422.562,4410.291,3803.913
117,4523.693,4397.833,4933.917,4665.231,4427.641,4537.956,4928.316,4843.000,5579.787,5622.182,4810.750,4557.636,5149.719,4479.200,4504.093,3809.000
118,4763.364,4470.750,4965.139,4760.961,4423.438,4560.175,5021.607,4880.462,5686.106,5691.909,4871.309,4713.273,5168.219,4540.175,4592.279,3806.504
119,4915.818,4505.778,4978.972,4802.846,4414.484,4589.146,5098.190,4951.650,5792.106,5725.227,4956.662,4797.364,5213.875,4631.900,4662.174,3807.496
120,5032.398,4551.250,5003.833,4865.577,4430.906,4627.438,5150.848,4993.663,5878.404,5752.023,5009.368,4868.534,5257.812,4704.375,4700.349,3804.313
121,5056.500,4543.528,5039.639,4916.154,4431.953,4685.161,5180.405,5105.900,5962.000,5802.136,5103.544,4952.466,5312.844,4746.200,4754.302,3806.922
122,5112.455,4587.750,5042.778,5013.731,4435.266,4754.226,5220.570,5166.462,6086.213,5862.523,5169.206,5049.182,5371.656,4850.462,4772.744,3799.783
123,5127.830,4565.861,5019.111,5061.961,4486.969,4803.511,5248.266,5240.900,6152.489,5909.364,5222.735,5090.943,5368.125,4907.188,4802.872,3807.469
124,5152.864,4595.917,5045.583,5111.769,4524.156,4860.547,5269.671,5285.987,6217.276,5933.909,5255.765,5187.648,5409.469,4958.250,4818.721,3862.043
125,5175.500,4614.639,5034.361,5114.654,4564.984,4900.993,5314.937,5354.462,6236.681,5954.227,5319.838,5216.636,5411.906,5007.150,4846.721,3879.704
126,5153.625,4584.389,5048.417,5136.654,4586.766,4956.569,5346.481,5418.500,6295.766,5973.364,5348.456,5299.955,5445.812,5048.638,4841.698,3887.930
127,5191.250,4607.167,5061.722,5198.615,4614.375,5005.854,5367.139,5459.138,6293.766,5956.500,5361.691,5339.034,5458.562,5112.888,4856.965,3932.817
128,5175.602,4609.972,5063.083,5188.385,4638.188,5104.591,5360.861,5472.700,6322.638,5960.909,5412.294,5392.648,5501.781,5135.575,4868.000,3957.817
129,5183.636,4590.278,5049.028,5228.539,4667.781,5180.606,5380.354,5532.562,6359.617,5935.091,5441.750,5448.443,5477.062,5164.837,4858.000,3991.774
130,5194.420,4605.222,5058.056,5218.923,4688.266,5213.372,5399.583,5548.962,6337.319,5942.205,5499.897,5518.489,5486.094,5195.400,4865.884,4026.600
131,5160.727,4590.333,5054.139,5247.192,4723.266,5237.409,5385.443,5599.413,6415.660,5943.545,5493.309,5575.420,5531.188,5193.325,4871.477,4087.835
132,5189.625,4602.750,5040.083,5294.154,4738.688,5285.963,5400.430,5600.562,6378.149,5978.000,5470.662,5647.023,5520.625,5252.288,4868.546,4102.861
133,5183.011,4598.528,5052.333,5280.885,4752.922,5292.913,5413.329,5630.763,6373.936,5941.705,5492.618,5704.534,5522.656,5262.200,4875.186,4117.565
134,5197.045,4633.750,5030.556,5309.692,4756.203,5327.547,5406.405,5640.025,6366.106,5979.864,5485.235,5706.261,5495.250,5285.400,4877.744,4141.583
135,5186.580,4602.028,5049.222,5304.539,4778.828,5336.503,5422.266,5678.375,6418.617,5944.068,5517.618,5741.602,5470.812,5305.875,4880.442,4151.270
136,5195.398,4589.972,5040.861,5309.615,4815.406,5377.649,5411.848,5720.275,6401.681,5943.682,5546.559,5765.182,5520.438,5293.562,4864.337,4159.409
137,5179.136,4612.806,5060.889,5354.115,4813.312,5393.109,5442.633,5724.375,6415.596,5945.705,5568.485,5820.341,5506.062,5296.462,4862.488,4215.043
138,5194.750,4604.528,5034.694,5316.039,4853.703,5423.985,5426.228,5746.275,6360.362,5931.591,5570.853,5845.773,5484.250,5330.100,4869.663,4188.348
139,5187.295,4616.194,5059.306,5321.539,4845.859,5425.883,5424.570,5757.413,6408.468,5945.068,5606.471,5873.023,5538.438,5342.263,4871.686,4220.435
140,5176.182,4608.528,5033.778,5345.731,4855.344,5460.795,5445.443,5771.750,6408.468,5946.636,5585.412,5898.636,5511.969,5354.450,4883.337,4238.322
141,5181.227,4615.167,5075.750,5350.577,4856.438,5492.591,5452.570,5778.413,6404.575,5978.523,5629.279,5867.102,5560.281,5381.638,4887.093,4236.713
142,5184.955,4586.778,5074.444,5348.808,4867.766,5495.205,5444.557,5790.725,6437.340,5931.068,5636.985,5884.466,5524.656,5362.737,4872.756,4253.078
143,5203.830,4590.389,5054.333,5357.923,4877.344,5491.803,5455.025,5816.025,6384.830,5939.932,5620.044,5916.125,5537.156,5397.275,4867.070,4248.435
144,5166.330,4589.222,5047.111,5381.385,4872.438,5493.723,5423.835,5786.487,6408.830,5914.909,5592.985,5907.250,5535.969,5403.275,4888.128,4259.626
145,5196.568,4618.111,5054.917,5370.808,4893.812,5488.416,5441.987,5798.100,6401.213,5937.250,5597.794,5886.943,5564.562,5394.500,4885.163,4254.400
146,5190.466,4567.444,5040.222,5340.539,4888.422,5524.022,5443.709,5815.487,6409.085,5959.773,5599.191,5951.489,5538.938,5407.862,4893.791,4271.244
147,5167.159,4575.833,5025.861,5378.346,4897.422,5514.788,5451.962,5813.288,6404.213,5946.568,5607.103,5956.955,5527.156,5403.475,4889.384,4271.104
148,5185.341,4584.278,5054.306,5365.077,4889.219,5527.015,5455.038,5815.525,6394.787,6000.136,5629.000,5986.659,5533.844,5434.812,4885.721,4285.026
149,5204.636,4583.750,5040.250,5380.000,4917.125,5527.307,5416.152,5810.812,6417.617,5962.045,5643.235,5963.920,5557.469,5449.987,4899.337,4292.661
150,5178.557,4588.500,5041.500,5388.577,4916.281,5548.037,5431.139,5798.938,6438.638,5967.273,5600.456,5978.659,5561.719,5427.862,4885.558,4265.722
151,5175.114,4581.083,5080.333,5361.231,4904.438,5539.825,5438.430,5778.525,6451.745,5949.364,5543.956,5955.091,5560.000,5458.487,4873.465,4282.669
152,5197.977,4575.861,5014.667,5383.808,4936.984,5535.518,5422.912,5774.325,6409.766,5907.295,5519.985,5940.932,5548.219,5446.700,4873.093,4296.626
153,5172.818,4580.028,5043.556,5366.615,4918.156,5531.000,5430.417,5783.775,6451.425,5935.364,5490.441,5980.659,5489.625,5476.987,4890.442,4288.035
154,5172.682,4576.250,5019.333,5380.423,4920.922,5531.131,5445.848,5787.150,6413.489,5945.591,5474.485,5979.364,5545.812,5448.525,4866.256,4301.722
155,5167.489,4609.778,5012.611,5372.308,4923.500,5537.007,5444.557,5773.825,6442.191,5935.773,5515.059,5984.295,5562.188,5454.300,4874.756,4307.765
156,5165.705,4579.278,5022.778,5409.539,4935.125,5541.139,5436.088,5788.837,6426.000,5938.568,5513.176,6019.716,5546.938,5441.025,4878.082,4300.652
