 ,Mean1,Mean2,Mean3,Mean4,Mean5
381,5047.838,4735.344,4489.289,4823.188,4517.400
382,5061.027,4715.375,4474.885,4822.625,4488.700
383,5037.865,4715.219,4510.885,4827.156,4488.700
384,5037.648,4728.656,4492.539,4795.750,4505.250
385,5035.784,4701.031,4502.558,4810.656,4447.550
386,5050.271,4706.688,4510.635,4827.406,4510.900
387,5047.703,4696.469,4510.154,4850.000,4492.650
388,5028.648,4689.844,4518.173,4822.344,4488.500
389,5038.757,4697.031,4509.885,4804.031,4527.400
390,5035.405,4709.344,4503.923,4852.781,4507.900
391,5050.216,4712.469,4496.327,4802.688,4510.100
392,5057.000,4695.969,4504.135,4839.844,4492.250
393,5037.703,4703.750,4492.308,4824.094,4491.750
394,5052.784,4695.688,4504.577,4797.062,4499.450
395,5009.541,4709.594,4501.711,4834.906,4467.150
396,5035.352,4702.188,4519.885,4837.625,4512.350
397,5048.189,4715.719,4520.961,4844.750,4461.350
398,5038.595,4702.031,4511.885,4818.656,4508.600
399,5047.865,4676.719,4504.750,4803.969,4527.450
400,5038.027,4671.031,4486.750,4826.281,4500.600
401,5063.973,4704.156,4510.904,4827.000,4476.700
402,5011.838,4680.375,4500.615,4792.812,4488.250
403,5038.189,4686.406,4497.539,4858.750,4489.300
404,5005.216,4675.562,4474.635,4795.594,4520.100
405,5043.027,4690.906,4482.750,4796.344,4495.450
406,5014.811,4682.156,4524.365,4800.844,4485.850
407,5054.243,4682.219,4490.577,4830.906,4489.650
408,5049.892,4674.500,4516.115,4805.750,4491.250
409,5033.054,4666.344,4506.558,4802.250,4487.100
410,5018.027,4654.219,4493.885,4800.906,4480.050
411,5031.271,4675.625,4487.827,4817.031,4504.000
412,5027.271,4670.625,4511.519,4814.969,4498.100
413,5039.486,4662.562,4481.865,4807.938,4476.200
414,5017.108,4645.375,4490.231,4832.125,4489.250
415,5043.000,4665.531,4492.077,4807.125,4455.700
416,5025.892,4662.656,4499.346,4806.938,4485.450
417,4987.405,4666.125,4470.461,4814.844,4474.700
418,5026.297,4670.469,4500.711,4797.094,4474.550
419,5030.892,4654.812,4472.558,4795.906,4507.650
420,5041.352,4657.500,4484.827,4803.750,4496.350
421,5031.567,4662.594,4503.385,4780.781,4493.150
422,5034.757,4647.219,4478.596,4794.688,4474.950
423,4991.108,4642.750,4485.692,4797.969,4445.900
424,5030.243,4649.812,4483.577,4791.312,4498.950
425,5027.486,4650.938,4477.731,4813.938,4497.650
426,5039.378,4644.656,4496.250,4776.750,4449.200
427,5003.243,4645.469,4494.000,4811.906,4468.350
428,5031.892,4645.625,4471.808,4785.344,4489.400
429,5020.729,4618.594,4466.077,4802.281,4504.100
430,5032.271,4634.062,4506.596,4806.156,4452.750
431,4993.865,4625.031,4510.115,4780.938,4474.450
432,5022.486,4626.094,4483.865,4761.219,4492.650
433,5021.784,4635.094,4485.327,4787.125,4483.700
434,5015.324,4634.625,4486.519,4799.875,4474.800
435,4996.676,4652.438,4475.961,4795.531,4497.600
436,5058.189,4614.406,4467.865,4795.812,4502.600
437,5036.243,4640.875,4488.365,4786.531,4491.300
438,5011.541,4607.844,4498.365,4790.969,4477.350
439,5032.081,4589.688,4479.808,4809.469,4463.800
440,5023.459,4629.219,4493.615,4794.469,4457.900
441,5012.243,4619.844,4463.808,4790.625,4491.950
