 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
106,3737.091,3442.596,3166.941,3147.615,4150.500,3185.742,4183.036,3945.100,2860.190,3050.812
107,3734.409,3452.711,3148.706,3124.000,4160.100,3162.936,4147.929,3963.850,2863.414,3031.938
108,3731.795,3419.731,3162.588,3116.808,4141.100,3158.742,4144.714,3962.550,2862.017,3023.344
109,3736.068,3464.981,3155.941,3205.154,4183.150,3139.903,4127.214,3940.050,2887.707,3054.594
110,3731.341,3492.539,3212.500,3512.500,4149.950,3213.000,4210.893,3952.900,2934.310,3135.219
111,3818.295,3521.404,3322.412,4013.154,4195.700,3299.323,4397.429,4024.700,3205.586,3409.906
112,3893.000,3599.827,3448.441,4501.539,4239.400,3477.129,4665.929,4119.900,3701.931,3955.938
113,3925.500,3679.154,3645.353,4938.308,4272.850,3735.097,4914.857,4237.450,4199.086,4626.156
114,3958.386,3745.865,3958.823,5316.077,4319.950,3938.581,5209.750,4352.050,4576.328,5135.344
115,3984.091,3820.654,4272.559,5524.539,4354.050,4213.516,5509.536,4460.750,4820.879,5502.312
116,4036.068,3874.250,4551.265,5757.539,4436.950,4403.677,5742.643,4560.150,5004.655,5696.812
117,4110.136,3959.519,4897.412,5953.308,4548.800,4650.064,5995.821,4692.450,5124.414,5789.031
118,4254.659,4039.404,5227.147,6012.423,4646.700,4788.774,6201.357,4824.150,5203.845,5895.688
119,4464.568,4172.615,5467.971,6138.039,4811.650,4968.774,6388.786,4967.700,5285.896,5965.844
120,4778.227,4311.269,5672.676,6230.423,4848.500,5059.613,6530.143,5018.250,5328.535,5991.688
121,5029.727,4389.558,5868.529,6302.692,4942.550,5166.032,6746.321,5085.500,5344.862,6022.094
122,5273.841,4508.211,5997.647,6341.154,5036.450,5253.355,6919.536,5192.100,5356.638,6035.000
123,5458.841,4549.115,6122.088,6396.961,5037.550,5313.548,7056.607,5242.300,5412.689,6048.000
124,5605.205,4622.923,6184.647,6410.461,5093.650,5343.032,7173.357,5260.850,5407.672,6053.812
125,5725.364,4642.058,6265.029,6446.192,5134.250,5361.742,7320.536,5337.550,5448.035,6077.875
126,5891.977,4727.500,6287.941,6457.769,5125.200,5404.709,7396.214,5338.600,5460.811,6115.406
127,6000.432,4761.731,6335.824,6468.192,5091.800,5418.613,7463.429,5392.850,5449.189,6099.094
128,6121.432,4755.192,6347.618,6507.269,5130.050,5455.097,7548.214,5400.700,5459.448,6103.812
129,6197.727,4799.442,6354.206,6501.539,5170.250,5472.323,7575.750,5382.250,5465.155,6112.719
130,6238.977,4821.750,6358.176,6503.039,5143.100,5469.709,7686.000,5387.550,5456.621,6064.562
131,6323.636,4835.211,6435.441,6527.769,5121.750,5487.709,7736.107,5425.350,5484.862,6108.781
132,6298.409,4839.365,6389.294,6520.423,5134.750,5496.097,7774.964,5407.950,5447.293,6106.062
133,6324.045,4860.481,6423.912,6494.000,5166.250,5508.677,7788.286,5352.900,5468.759,6089.312
134,6371.909,4861.519,6395.676,6560.192,5151.700,5512.548,7880.464,5382.600,5484.811,6062.812
135,6428.250,4901.327,6434.382,6570.769,5163.150,5523.064,7884.750,5404.050,5491.569,6071.719
136,6394.523,4883.711,6477.824,6560.000,5208.800,5561.742,7996.143,5448.700,5485.535,6098.594
137,6396.886,4867.289,6438.853,6540.769,5135.350,5510.548,7994.464,5390.050,5489.914,6109.969
138,6448.295,4859.115,6426.206,6586.346,5162.800,5554.291,8024.464,5420.950,5490.707,6088.688
139,6422.932,4888.846,6464.029,6565.731,5203.100,5545.742,8065.536,5403.650,5504.379,6076.000
140,6461.318,4902.404,6420.588,6560.231,5150.850,5547.548,8048.571,5404.650,5488.724,6060.125
141,6479.818,4904.058,6419.265,6569.615,5126.150,5556.936,8081.143,5432.000,5513.655,6087.156
142,6501.364,4883.904,6458.853,6567.692,5156.400,5541.193,8104.500,5442.800,5491.000,6052.281
143,6464.750,4905.481,6451.912,6555.692,5160.650,5555.548,8098.321,5381.550,5483.672,6073.250
144,6490.273,4916.500,6452.559,6545.269,5178.350,5596.193,8119.214,5406.950,5493.828,6092.875
145,6486.977,4904.135,6425.412,6525.077,5164.050,5563.419,8196.536,5428.100,5452.069,6091.656
146,6513.955,4895.539,6431.559,6531.154,5184.450,5560.581,8203.821,5392.500,5474.535,6075.938
147,6482.705,4912.442,6446.471,6532.731,5125.100,5552.258,8161.536,5422.350,5519.879,6082.125
148,6499.386,4916.385,6427.029,6509.039,5193.850,5529.516,8162.143,5394.650,5459.414,6067.344
149,6489.977,4917.135,6453.324,6496.769,5148.200,5554.419,8197.857,5414.600,5473.155,6034.469
150,6489.773,4903.615,6465.647,6505.923,5173.350,5565.387,8190.893,5414.450,5467.948,6047.312
151,6532.000,4889.442,6417.882,6571.577,5183.550,5541.419,8156.250,5391.300,5470.914,6076.594
152,6523.114,4905.750,6396.882,6528.731,5185.050,5581.355,8205.536,5409.200,5463.086,6068.312
153,6549.455,4919.711,6409.794,6571.423,5153.650,5595.387,8175.821,5419.950,5456.328,6065.438
154,6538.114,4920.058,6419.353,6544.115,5156.300,5610.645,8198.643,5442.150,5459.379,6069.062
155,6571.182,4927.365,6442.412,6518.385,5128.800,5583.645,8163.893,5446.000,5431.655,6033.125
156,6579.773,4904.481,6406.529,6623.308,5198.700,5626.936,8203.214,5411.300,5449.431,6043.000
157,6584.932,4904.154,6354.059,6572.808,5194.650,5616.452,8159.250,5418.850,5438.259,6054.688
158,6607.068,4895.000,6373.824,6625.154,5164.650,5600.161,8182.000,5430.250,5443.621,6078.844
159,6562.773,4897.346,6388.235,6573.192,5135.900,5587.064,8170.429,5441.000,5435.879,6073.688
160,6563.295,4900.577,6379.235,6614.308,5179.350,5602.226,8162.357,5418.100,5434.845,6062.062
161,6595.182,4904.942,6338.971,6551.269,5156.200,5613.452,8127.750,5490.850,5433.569,6076.750
162,6603.500,4926.404,6331.147,6617.423,5175.600,5587.161,8099.286,5448.350,5420.500,6082.625
163,6599.750,4922.192,6303.088,6597.731,5176.350,5612.419,8107.929,5478.150,5424.845,6019.281
164,6618.818,4893.077,6306.500,6601.308,5158.550,5605.516,8025.714,5428.250,5434.638,6068.625
165,6634.977,4894.635,6311.441,6615.231,5155.850,5615.548,8081.821,5430.900,5414.724,6077.344
166,6598.250,4918.596,6259.647,6617.308,5164.400,5609.677,8117.679,5484.350,5438.862,6091.125
167,6624.750,4928.250,6249.765,6601.039,5167.000,5618.936,8115.857,5466.550,5431.914,6051.875
