 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
245,7555.162,7218.000,6314.117,6538.801,9897.861,5903.036,7416.819,7039.431,6366.255,5892.568
246,7559.279,7212.177,6306.517,6531.949,9924.639,5950.027,7387.278,7024.961,6366.608,5860.614
247,7559.632,7205.542,6334.467,6506.904,9918.556,5942.973,7417.431,7043.549,6354.510,5808.045
248,7594.176,7238.927,6329.217,6459.831,9896.806,5907.125,7392.194,7044.824,6340.882,5783.227
249,7583.706,7218.448,6363.650,6427.529,9929.777,5935.723,7350.875,7026.255,6366.667,5725.091
250,7568.647,7218.438,6321.283,6496.529,9910.333,5917.036,7381.917,7036.588,6343.804,5654.750
251,7577.382,7214.229,6324.417,6518.926,9908.250,5920.786,7363.792,7034.882,6377.667,5638.023
252,7579.426,7220.875,6326.550,6474.375,9897.583,5886.482,7380.250,7036.216,6363.627,5691.386
253,7595.059,7212.646,6290.083,6446.441,9900.583,5909.875,7394.875,7009.784,6370.843,5747.568
254,7579.706,7221.521,6331.217,6406.853,9915.667,5913.331,7353.417,7026.921,6358.784,5722.182
255,7568.691,7213.604,6303.517,6378.566,9920.861,5898.027,7342.736,6968.941,6336.647,5687.659
256,7576.618,7216.969,6258.883,6324.809,9921.000,5896.482,7347.250,7003.255,6361.529,5686.682
257,7574.147,7207.000,6270.633,6272.309,9929.973,5900.696,7347.736,7040.137,6373.627,5662.205
258,7569.647,7234.417,6265.550,6288.478,9920.777,5906.634,7341.250,7022.863,6366.255,5563.068
259,7577.618,7202.219,6261.667,6380.029,9891.694,5884.688,7299.347,6988.392,6350.863,5573.477
260,7573.412,7209.406,6258.200,6377.287,9911.667,5869.581,7322.014,6986.157,6345.039,5496.023
261,7586.676,7224.740,6236.717,6337.853,9866.500,5908.500,7315.236,6994.726,6363.510,5481.295
262,7555.750,7186.812,6238.517,6323.904,9942.223,5894.321,7304.319,6985.765,6363.921,5439.432
263,7582.353,7198.229,6228.217,6290.390,9878.361,5856.794,7275.319,6990.667,6349.059,5392.091
264,7569.353,7195.115,6193.233,6243.897,9898.444,5821.607,7279.236,6975.804,6359.686,5348.205
265,7537.897,7191.604,6184.983,6183.375,9846.750,5804.518,7258.375,6945.745,6349.079,5317.205
266,7575.559,7216.875,6187.733,6159.750,9855.777,5867.723,7254.167,6950.627,6335.667,5302.523
