 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
83,3678.111,4033.839,3546.572,3253.703,4295.714,3693.500,4416.097,4339.346,4508.469,3803.039
84,3650.028,4002.419,3541.300,3238.108,4318.333,3713.312,4383.387,4350.500,4505.312,3796.769
85,3665.306,4033.936,3550.029,3248.784,4302.524,3684.812,4388.387,4342.077,4510.312,3797.461
86,3676.861,4005.774,3539.414,3246.513,4321.143,3687.812,4417.839,4341.039,4496.781,3815.692
87,3665.028,4004.839,3530.286,3252.594,4304.190,3723.688,4377.807,4343.846,4502.750,3814.577
88,3651.833,3999.710,3545.714,3260.135,4339.429,3698.625,4401.936,4332.885,4498.250,3784.961
89,3654.556,4010.419,3540.529,3250.919,4320.000,3717.875,4377.387,4311.039,4493.000,3795.808
90,3685.972,4005.774,3528.314,3240.919,4301.143,3691.500,4420.968,4333.692,4496.719,3819.346
91,3656.472,4003.548,3553.114,3249.406,4338.524,3703.750,4369.129,4333.885,4487.719,3785.461
92,3653.472,3996.806,3537.843,3242.676,4316.762,3709.375,4410.323,4320.077,4494.812,3815.039
93,3671.611,3994.064,3557.428,3243.622,4343.000,3692.375,4409.323,4332.769,4507.000,3813.692
94,3647.778,3974.710,3542.786,3263.541,4306.667,3700.062,4393.226,4366.192,4469.281,3816.000
95,3675.444,3988.871,3523.743,3273.000,4325.619,3701.250,4394.516,4337.115,4477.031,3798.692
96,3647.528,3991.161,3532.786,3259.757,4300.429,3671.438,4408.871,4337.192,4491.219,3823.192
97,3624.444,4007.452,3533.843,3265.108,4327.286,3702.062,4411.064,4344.846,4519.906,3829.885
98,3639.028,3983.839,3549.914,3258.378,4298.286,3687.500,4379.097,4336.346,4496.875,3814.692
99,3657.833,3985.290,3535.928,3269.351,4331.619,3688.188,4399.291,4310.846,4516.438,3839.769
100,3652.000,3979.613,3546.729,3239.270,4328.476,3737.438,4389.193,4321.192,4492.938,3811.500
101,3659.750,3978.968,3544.486,3251.135,4315.333,3679.625,4401.129,4339.500,4475.344,3783.577
102,3668.583,3989.516,3546.343,3253.838,4325.762,3683.562,4386.807,4340.615,4492.906,3795.654
103,3667.056,4003.064,3532.486,3250.270,4326.667,3764.562,4377.258,4328.231,4523.062,3824.385
104,3665.806,3974.097,3553.214,3260.459,4292.000,3728.500,4409.387,4323.961,4485.125,3799.654
105,3656.528,3967.032,3532.114,3267.162,4330.714,3706.438,4409.613,4350.500,4493.562,3805.346
106,3648.861,3994.387,3552.229,3254.513,4321.952,3719.000,4396.839,4335.731,4499.312,3808.461
107,3629.111,3952.355,3523.743,3227.108,4306.952,3722.000,4396.387,4350.077,4523.188,3809.154
108,3638.000,3971.226,3534.371,3221.270,4304.190,3721.438,4400.968,4354.731,4516.562,3807.500
