 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
76,4208.917,3950.615,3048.091,3110.583,3913.177,2895.125,4808.500,4381.250,4607.000,3999.000,4144.364,4453.833
77,4210.833,3952.000,3036.886,3107.167,3894.382,2851.125,4753.500,4373.200,4599.058,3959.476,4112.636,4433.583
78,4196.833,3924.269,3042.636,3108.250,3900.706,2921.250,4791.667,4375.017,4614.404,3977.428,4172.455,4428.250
79,4234.750,3939.154,3042.795,3104.417,3900.971,2851.750,4739.333,4374.317,4626.654,3973.762,4154.636,4438.750
80,4202.611,3951.808,3035.750,3095.917,3932.471,2853.625,4751.000,4383.433,4629.192,3973.762,4153.545,4458.417
81,4186.139,3956.885,3065.045,3109.583,3914.235,2893.875,4787.000,4360.567,4620.942,3992.286,4158.364,4482.667
82,4182.722,3959.154,3041.409,3117.500,3924.559,2887.625,4743.500,4373.467,4599.961,3971.619,4120.636,4478.167
83,4252.194,3942.500,3042.000,3122.833,3938.294,2850.750,4738.000,4369.867,4598.923,3982.857,4138.545,4450.833
84,4235.250,3953.115,3049.727,3091.000,3897.265,2887.500,4776.667,4385.033,4601.808,4006.286,4118.182,4429.833
85,4217.556,3942.923,3035.614,3108.417,3904.559,2852.250,4739.333,4367.567,4607.269,3965.952,4087.182,4439.583
86,4209.667,3960.577,3056.455,3098.000,3870.412,2909.250,4789.333,4380.200,4628.596,3985.286,4110.727,4412.667
87,4214.472,3957.500,3043.545,3136.500,3900.118,2849.250,4711.333,4360.733,4620.808,4006.048,4140.000,4467.833
88,4235.250,3949.039,3045.409,3130.583,3899.735,2902.250,4794.833,4372.367,4613.250,3999.572,4136.000,4435.833
89,4205.000,3935.808,3040.000,3091.833,3898.323,2861.875,4715.833,4361.300,4608.577,3985.524,4184.091,4434.917
90,4219.139,3948.654,3031.023,3083.333,3894.382,2851.250,4752.167,4368.033,4631.981,3984.572,4139.182,4489.417
91,4214.167,3943.461,3037.909,3116.000,3907.941,2884.500,4696.000,4384.783,4612.211,4002.238,4133.364,4399.583
92,4225.500,3945.923,3035.341,3103.417,3928.177,2865.500,4750.167,4368.983,4620.923,3980.857,4148.091,4485.250
93,4223.806,3945.500,3060.705,3117.417,3910.735,2913.625,4745.833,4379.267,4622.519,3991.143,4211.091,4427.000
94,4233.083,3956.077,3049.477,3114.917,3909.147,2893.000,4750.667,4381.417,4595.154,3981.190,4136.636,4482.667
95,4214.389,3933.846,3044.932,3104.000,3894.412,2900.625,4746.167,4384.967,4608.058,3982.476,4183.727,4469.667
96,4218.194,3941.731,3067.273,3085.333,3903.588,2882.250,4722.667,4379.267,4638.942,3975.476,4191.636,4396.417
97,4219.167,3945.039,3061.068,3122.000,3907.735,2909.250,4772.667,4397.417,4638.346,4009.095,4166.364,4470.500
98,4236.833,3933.500,3021.750,3117.250,3889.441,2904.000,4721.167,4383.167,4618.981,3973.238,4143.273,4430.667
