 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
84,4168.141,4294.692,4269.306,4287.308,3380.137,4688.361,4319.176,4007.678,3627.344,4968.528
85,4160.078,4298.173,4291.167,4273.308,3363.850,4701.111,4364.971,4001.357,3640.219,4978.194
86,4162.297,4294.577,4286.528,4282.885,3358.600,4703.417,4333.471,4006.357,3608.906,4957.778
87,4152.516,4289.846,4279.389,4275.154,3362.587,4688.833,4331.147,4003.072,3614.750,4952.139
88,4158.891,4302.308,4264.694,4284.385,3359.312,4699.417,4329.471,3996.393,3630.719,4948.222
89,4155.391,4296.231,4301.750,4310.769,3351.312,4699.472,4315.176,3989.500,3596.812,4951.222
90,4173.656,4285.135,4280.056,4311.077,3334.675,4690.722,4349.471,4016.928,3592.094,4963.306
91,4183.281,4282.346,4297.278,4308.269,3349.062,4678.333,4314.824,3989.107,3596.094,4966.361
92,4155.109,4318.269,4268.306,4282.385,3346.325,4681.139,4334.735,4014.250,3607.688,4950.194
93,4167.547,4280.673,4261.417,4287.269,3332.363,4655.417,4298.382,3992.678,3596.562,4935.000
94,4160.922,4298.519,4287.250,4284.961,3343.712,4664.806,4315.324,3986.928,3594.656,4939.667
95,4168.609,4293.115,4296.806,4299.154,3318.688,4698.944,4323.941,3995.322,3583.594,4917.889
96,4161.672,4287.942,4307.556,4290.308,3313.288,4684.417,4327.588,3992.643,3598.594,4950.028
97,4169.359,4272.365,4294.583,4262.154,3322.375,4684.389,4338.941,3986.714,3595.625,4907.556
98,4164.672,4279.115,4267.833,4284.615,3318.712,4690.889,4326.088,4008.072,3557.094,4924.750
99,4182.359,4275.442,4287.917,4278.885,3304.413,4675.722,4351.441,3975.464,3579.438,4910.083
100,4153.297,4266.231,4281.056,4267.192,3310.488,4698.917,4304.559,3972.964,3561.812,4943.194
101,4167.750,4286.077,4302.250,4281.039,3312.438,4701.083,4310.265,3999.107,3563.656,4902.222
102,4163.875,4271.808,4276.750,4301.577,3281.012,4657.528,4297.647,3961.143,3582.688,4904.944
103,4169.125,4267.596,4273.194,4295.039,3295.812,4658.444,4336.706,3977.822,3560.625,4898.028
104,4163.750,4286.692,4300.361,4305.692,3294.025,4677.556,4339.559,3992.714,3550.750,4915.778
105,4164.922,4265.115,4285.361,4309.846,3295.812,4696.639,4318.588,3967.214,3526.688,4899.306
106,4167.891,4267.019,4312.389,4302.539,3296.275,4694.278,4330.118,3992.857,3557.969,4925.194
107,4161.234,4279.308,4268.389,4289.423,3280.650,4697.306,4314.735,3974.357,3552.688,4910.500
108,4172.156,4246.961,4290.611,4277.808,3285.913,4674.167,4295.882,3997.178,3556.625,4948.556
109,4163.844,4256.846,4283.278,4267.731,3286.438,4694.889,4317.912,3993.322,3535.719,4899.806
110,4158.641,4261.442,4285.139,4278.885,3298.262,4684.722,4301.824,3980.464,3533.031,4859.639
111,4178.453,4291.692,4280.417,4286.000,3828.625,4664.667,4327.118,4002.107,3547.000,4896.333
112,4170.750,4338.981,4303.194,4301.000,4500.325,4660.306,4321.735,4069.500,3599.688,4865.500
113,4186.297,4357.404,4313.139,4298.308,5288.475,4706.833,4383.441,4156.607,3653.781,4910.000
114,4207.734,4390.135,4313.722,4255.808,6074.075,4703.444,4404.324,4219.857,3808.969,4918.472
115,4177.031,4429.058,4337.417,4310.692,6728.325,4691.917,4505.294,4368.321,4073.156,4906.972
116,4198.812,4585.000,4351.056,4339.269,7180.925,4711.806,4618.176,4488.714,4483.094,4898.778
117,4202.344,4872.539,4350.278,4328.115,7559.400,4703.444,4727.941,4708.857,4888.531,4928.972
118,4203.000,5210.885,4415.111,4347.461,7725.950,4710.194,4871.588,4855.750,5215.469,4906.472
119,4217.609,5582.115,4423.694,4389.923,7870.500,4736.722,5017.382,5025.607,5414.031,4979.972
120,4225.500,5855.269,4462.667,4371.577,7942.325,4711.083,5137.206,5150.464,5551.906,5014.944
121,4210.125,6065.577,4548.722,4400.923,8007.438,4719.306,5259.118,5192.571,5637.875,5056.750
122,4231.344,6181.173,4632.889,4402.461,8062.462,4745.806,5355.147,5308.071,5621.969,5098.278
123,4216.906,6263.019,4681.389,4448.423,8097.087,4800.028,5473.529,5308.286,5650.031,5163.111
124,4220.438,6278.865,4760.833,4447.769,8112.325,4853.139,5500.000,5305.821,5659.188,5205.167
125,4247.406,6355.577,4868.611,4431.039,8104.250,4916.972,5578.412,5364.929,5677.875,5275.583
126,4233.422,6375.250,4964.722,4432.115,8167.275,4930.250,5631.176,5364.393,5693.219,5329.944
127,4258.031,6368.077,5057.528,4470.154,8150.550,4949.333,5660.618,5371.893,5684.125,5370.722
128,4332.453,6396.539,5165.306,4461.308,8172.337,5024.972,5674.471,5368.500,5694.281,5399.611
129,4445.219,6405.615,5267.250,4537.423,8186.600,5093.722,5717.824,5423.500,5714.438,5447.250
130,4549.891,6395.461,5331.444,4543.539,8203.800,5208.250,5712.647,5384.536,5708.312,5491.944
131,4648.234,6388.750,5450.778,4553.769,8199.600,5354.861,5731.941,5405.929,5695.750,5507.139
132,4734.328,6407.500,5524.333,4598.423,8257.575,5454.889,5768.176,5413.357,5720.281,5525.389
133,4824.094,6374.442,5613.778,4595.923,8172.600,5602.333,5754.676,5418.429,5709.000,5525.222
