 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
94,3792.631,3093.423,3467.676,3113.986,3113.773,3935.774,4235.786,4028.688,3974.157,4019.167
95,3785.763,3071.039,3424.459,3137.097,3077.455,3935.097,4254.893,4035.688,3985.294,4023.714
96,3778.695,3107.577,3446.622,3133.611,3109.227,3933.484,4262.000,4014.875,3992.529,4035.238
97,3797.759,3098.115,3455.649,3123.569,3097.136,3948.613,4302.107,4011.396,3969.608,4042.833
98,3779.470,3086.769,3453.622,3124.181,3093.477,3960.323,4268.179,4034.250,3995.706,4027.595
99,3788.390,3079.769,3424.811,3121.694,3094.864,3929.968,4249.393,3998.062,3965.726,4038.190
100,3786.797,3092.846,3444.811,3109.958,3112.909,3937.194,4223.929,4010.792,3976.314,4033.048
101,3788.110,3115.000,3445.919,3123.181,3111.409,3934.355,4272.679,4033.875,3991.843,4050.190
102,3791.365,3089.500,3436.594,3126.958,3099.841,3939.258,4276.857,4017.229,3979.157,4049.524
103,3787.975,3075.039,3432.892,3123.056,3110.205,3930.258,4281.536,4032.250,3978.765,4028.405
104,3790.288,3092.692,3473.892,3139.764,3108.932,3936.258,4265.500,4044.688,3979.765,4027.905
105,3782.924,3098.539,3417.081,3129.708,3093.227,3956.194,4284.250,4033.062,3997.235,4031.619
106,3786.479,3086.115,3440.297,3129.431,3117.045,3925.839,4271.821,4011.333,3974.274,4056.572
107,3785.991,3065.154,3473.622,3127.681,3103.409,3925.097,4267.464,3997.042,3979.392,4029.405
108,3784.513,3084.346,3433.919,3119.264,3101.568,3918.613,4257.286,4026.062,3976.000,4019.024
109,3791.695,3091.846,3441.784,3097.861,3087.159,3905.839,4247.036,4023.188,3977.412,4026.905
110,3801.805,3079.692,3457.973,3112.319,3127.273,3932.194,4272.321,4013.083,3979.098,4050.595
111,3852.208,3106.461,3591.432,3152.000,3149.636,3925.548,4255.821,4007.375,3975.745,4055.286
112,4047.559,3116.731,3967.189,3294.819,3305.500,3940.903,4273.107,4037.521,3984.922,4096.833
113,4573.195,3178.308,4448.729,3666.056,3583.432,4016.613,4285.857,4039.938,3989.157,4239.190
114,5105.640,3225.231,4944.135,4139.528,3948.818,4070.774,4404.964,4088.667,4025.510,4362.738
115,5570.983,3264.615,5333.216,4619.181,4298.500,4188.387,4594.786,4220.688,4033.490,4476.167
116,5907.657,3282.539,5673.189,5089.153,4590.545,4300.936,4834.786,4352.812,4046.000,4572.452
117,6123.860,3294.115,5913.648,5480.958,4859.659,4419.968,4994.143,4482.312,4057.157,4659.595
118,6260.504,3337.346,6094.216,5779.722,5039.659,4530.484,5109.964,4592.083,4109.471,4745.381
119,6362.687,3375.961,6231.135,6026.611,5177.273,4646.355,5222.964,4713.875,4141.490,4803.833
120,6413.746,3455.269,6311.784,6214.208,5296.114,4745.742,5436.071,4826.521,4168.765,4862.190
121,6457.517,3642.308,6386.135,6347.833,5398.500,4800.452,5618.179,4886.667,4170.490,4918.595
122,6503.339,3778.385,6392.648,6446.750,5454.091,4821.742,5794.750,4939.875,4220.961,4923.238
123,6508.013,3815.115,6459.135,6499.542,5489.091,4904.161,5957.643,5024.542,4245.255,4980.405
124,6508.318,4018.077,6484.838,6568.569,5550.659,4928.129,6082.286,5075.792,4258.804,5002.071
125,6511.610,4245.423,6465.729,6588.111,5566.841,4984.387,6143.429,5090.229,4287.941,5052.643
126,6523.068,4497.731,6502.514,6613.111,5620.750,4959.000,6249.750,5150.021,4354.529,5070.238
127,6523.992,4602.539,6502.243,6599.889,5640.023,5033.936,6353.679,5183.938,4341.784,5101.690
128,6531.348,4684.769,6462.189,6628.667,5657.386,5017.258,6421.821,5220.125,4373.059,5125.167
129,6522.076,4793.385,6522.162,6678.972,5679.000,5057.903,6476.964,5251.250,4407.235,5086.405
130,6538.775,4855.385,6518.567,6656.194,5680.205,5062.677,6542.429,5260.146,4434.686,5150.286
131,6540.809,4900.385,6514.811,6685.861,5698.205,5058.355,6585.571,5328.750,4465.647,5152.024
132,6539.720,4973.654,6532.567,6689.958,5713.250,5116.355,6608.036,5339.896,4474.824,5186.810
133,6530.462,5046.961,6544.541,6705.208,5719.864,5113.581,6650.179,5346.917,4493.863,5170.452
