 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
281,6745.817,4973.368,7080.068,8755.526,5643.862,6862.804
282,6747.967,4957.279,7061.505,8736.089,5597.263,6842.372
283,6737.150,4957.647,7070.417,8713.031,5607.538,6863.615
284,6731.133,4981.015,7067.328,8733.067,5636.275,6842.209
285,6724.450,4971.294,7079.807,8717.714,5637.300,6858.852
286,6750.083,4975.382,7064.870,8704.109,5608.600,6828.385
287,6717.767,4952.574,7068.510,8710.828,5632.400,6856.223
288,6724.817,4962.103,7072.422,8707.766,5629.888,6855.102
289,6729.867,4973.603,7070.370,8729.245,5632.450,6854.378
290,6745.850,4986.162,7087.755,8727.380,5634.062,6873.858
291,6756.100,4988.324,7076.745,8727.317,5637.462,6850.696
292,6750.900,5013.265,7070.224,8698.683,5637.600,6829.021
293,6762.267,4988.971,7091.281,8735.812,5661.225,6878.527
294,6802.600,5014.897,7093.943,8740.802,5659.400,6888.479
295,6795.817,5027.441,7091.667,8735.817,5666.025,6879.102
296,6799.567,5015.206,7106.255,8760.661,5675.013,6869.973
297,6800.150,5005.647,7102.776,8743.708,5685.913,6880.817
298,6795.250,5012.147,7099.005,8741.688,5672.225,6867.743
299,6796.567,5004.721,7124.620,8765.417,5681.913,6893.635
300,6832.533,5030.074,7111.042,8777.505,5707.750,6909.736
301,6846.567,5012.941,7115.990,8750.433,5674.800,6858.615
302,6832.517,5001.941,7120.880,8752.151,5691.788,6882.446
303,6826.900,5032.265,7118.594,8778.276,5713.300,6899.216
304,6859.133,5013.500,7114.250,8766.151,5688.438,6903.595
305,6802.033,5012.721,7132.271,8763.511,5697.212,6877.622
306,6805.000,5009.632,7109.995,8787.266,5708.237,6873.750
307,6839.417,5034.897,7113.240,8753.755,5670.150,6878.919
308,6820.450,5028.809,7110.323,8768.099,5695.650,6876.567
309,6835.133,5034.000,7102.599,8776.724,5701.013,6885.358
310,6828.517,5009.221,7110.359,8732.328,5688.175,6863.345
311,6834.767,5012.015,7107.594,8735.703,5684.350,6874.723
312,6816.917,5028.176,7090.344,8780.667,5703.500,6908.304
313,6806.567,5020.676,7103.146,8728.511,5676.150,6856.953
314,6816.083,5015.074,7099.182,8737.729,5675.325,6848.777
315,6813.217,5009.485,7114.859,8732.370,5696.638,6879.209
316,6793.500,4990.500,7069.010,8741.797,5673.125,6851.155
317,6791.433,5001.338,7086.391,8730.656,5662.400,6853.473
318,6811.183,5022.000,7077.984,8756.433,5668.288,6870.872
319,6771.050,5003.985,7064.057,8714.729,5682.050,6847.486
320,6805.283,4997.941,7093.365,8710.683,5658.388,6828.561
321,6774.617,4988.824,7082.901,8727.067,5670.862,6846.642
322,6788.567,5005.441,7060.588,8718.688,5679.500,6868.541
323,6782.300,5000.132,7075.969,8728.698,5646.625,6834.797
324,6756.600,5006.971,7058.838,8702.692,5639.288,6844.102
325,6784.100,4987.647,7059.635,8699.625,5635.413,6816.912
326,6779.050,4990.971,7040.979,8715.192,5654.038,6813.676
327,6757.050,4995.118,7067.948,8719.354,5656.663,6843.264
328,6766.700,4992.721,7053.088,8690.808,5645.312,6808.486
329,6744.883,5000.529,7052.349,8682.136,5615.950,6821.602
330,6762.967,4986.853,7049.844,8692.208,5667.475,6851.196
331,6759.733,4993.426,7043.141,8630.083,5627.587,6840.817
332,6757.867,4991.544,7051.260,8649.198,5639.550,6817.412
333,6769.317,4996.471,7044.302,8706.776,5661.225,6836.257
334,6734.167,4978.824,7035.276,8644.844,5591.825,6844.453
335,6728.367,4999.309,7028.213,8630.703,5612.925,6795.324
336,6739.500,4984.529,7047.818,8675.979,5656.587,6861.264
337,6739.867,4973.044,7038.302,8676.755,5637.938,6866.223
338,6763.400,4985.456,7014.677,8635.198,5622.225,6801.771
339,6737.950,4992.882,7040.516,8650.239,5635.825,6837.088
340,6742.150,4981.956,7018.818,8638.396,5632.962,6852.067
341,6730.767,4991.426,7009.026,8640.808,5601.212,6840.933
