 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
68,2774.161,3164.478,3374.850,4078.392,3623.144,3954.300,4068.381,4320.158,3996.625,3991.823,4117.017,4536.196,4358.333
69,2774.266,3169.449,3379.717,4096.373,3630.740,3957.786,4083.274,4328.322,3998.275,3967.354,4115.639,4540.982,4346.348
70,2776.339,3151.536,3386.967,4114.902,3625.779,3971.871,4084.131,4311.726,4010.812,3991.354,4123.033,4527.634,4346.855
71,2769.944,3172.957,3361.133,4070.137,3632.336,3971.057,4085.226,4312.870,4011.413,3985.479,4119.082,4550.232,4341.232
72,2783.992,3172.420,3394.650,4106.118,3627.385,3960.057,4073.155,4327.877,4003.525,3997.365,4128.065,4535.607,4348.232
73,2777.968,3164.043,3376.767,4098.020,3631.914,3963.214,4071.810,4317.411,3998.000,4004.312,4120.672,4527.196,4333.522
74,2777.008,3160.754,3372.317,4091.431,3634.654,3952.657,4080.988,4317.692,4000.438,3988.271,4116.836,4531.241,4314.841
75,2775.694,3153.870,3388.217,4081.255,3621.211,3966.957,4083.190,4292.603,4016.262,3987.042,4110.312,4528.893,4349.580
76,2793.064,3145.609,3381.167,4114.039,3616.375,3957.486,4082.714,4317.466,3999.238,3988.510,4119.000,4544.741,4360.768
77,2777.645,3157.304,3380.550,4096.451,3619.615,3966.943,4061.512,4326.801,3994.562,3988.250,4111.951,4544.893,4344.507
78,2775.734,3145.406,3379.633,4116.490,3616.664,3973.557,4071.107,4316.185,4007.500,4007.500,4112.295,4544.393,4335.696
79,2775.661,3147.971,3381.100,4097.157,3631.490,3947.657,4086.405,4320.870,4003.975,4002.240,4130.590,4555.232,4348.580
80,2777.274,3151.159,3388.783,4115.627,3630.414,3941.800,4083.428,4314.884,3998.300,4010.365,4110.983,4543.044,4355.638
81,2779.871,3146.826,3374.717,4096.706,3618.875,3953.914,4073.333,4307.829,4001.275,4018.010,4102.787,4545.179,4360.377
82,2770.661,3148.348,3396.500,4104.098,3619.394,3954.557,4071.952,4311.014,3999.738,4019.781,4121.164,4556.536,4331.102
83,2772.839,3159.449,3383.050,4104.549,3632.539,3958.072,4068.286,4316.870,4010.312,4014.698,4109.000,4552.536,4335.928
84,2769.371,3146.667,3382.683,4103.569,3610.058,3938.914,4065.000,4325.726,4005.387,3999.250,4107.508,4533.081,4336.275
