 ,Mean1,Mean2,Mean3,Mean4,Mean5
241,3877.000,3994.125,5189.125,3277.500,3592.200
242,3798.625,4014.375,5186.250,3298.500,3622.200
243,3830.250,4033.312,5224.250,3280.750,3560.300
244,3814.250,4002.375,5173.750,3282.000,3586.500
245,3841.500,3984.688,5077.500,3220.000,3564.100
246,3817.500,4014.375,5061.500,3177.250,3535.400
247,3795.625,4026.500,5113.750,3218.500,3560.600
248,3825.000,4016.375,5099.750,3201.750,3545.100
249,3828.875,3997.750,5029.625,3188.750,3538.100
250,3811.625,3986.688,5031.125,3245.000,3522.500
251,3856.500,4027.562,5000.125,3172.750,3580.700
252,3809.875,4002.750,4980.375,3244.750,3490.600
253,3836.375,4020.188,4973.625,3180.750,3514.600
254,3809.875,3984.125,4996.500,3185.500,3510.800
255,3774.750,3977.375,4987.750,3200.750,3520.000
256,3781.875,3944.500,4893.500,3193.000,3479.900
257,3734.375,3937.500,4908.625,3229.750,3526.500
258,3807.500,3918.125,4865.625,3211.500,3497.400
259,3831.125,3919.000,4848.500,3138.750,3454.600
260,3794.000,3887.250,4864.625,3150.750,3504.400
261,3796.375,3925.062,4850.500,3160.250,3463.600
262,3804.500,3925.938,4820.375,3158.500,3478.400
263,3834.375,3914.125,4843.250,3153.500,3465.000
264,3810.625,3873.375,4837.750,3184.250,3459.600
265,3792.500,3900.500,4738.625,3130.000,3484.200
266,3819.750,3861.812,4780.750,3161.750,3501.600
267,3826.750,3888.375,4763.250,3125.500,3451.800
268,3809.500,3873.188,4726.250,3176.250,3447.700
269,3814.500,3844.750,4669.375,3205.250,3447.100
270,3803.000,3833.750,4720.250,3183.000,3471.300
271,3776.750,3815.250,4658.750,3126.750,3461.200
272,3838.625,3872.562,4677.125,3163.750,3429.700
273,3767.000,3834.938,4660.500,3166.750,3424.200
274,3811.875,3812.938,4636.750,3131.500,3454.100
275,3766.125,3835.625,4658.625,3132.250,3461.600
276,3814.375,3859.250,4626.375,3143.500,3441.600
277,3816.875,3842.188,4592.625,3192.750,3470.200
278,3812.875,3827.125,4613.125,3142.750,3458.300
279,3804.250,3827.188,4568.500,3214.750,3438.100
280,3839.125,3847.812,4607.625,3138.500,3458.200
281,3834.375,3820.625,4529.625,3157.000,3456.300
282,3826.250,3777.938,4619.250,3167.250,3459.600
283,3808.875,3814.438,4520.125,3097.750,3457.300
284,3815.375,3790.000,4522.875,3108.750,3478.200
285,3831.000,3815.938,4568.375,3083.000,3464.700
286,3813.750,3761.938,4540.750,3084.500,3465.100
287,3805.250,3785.250,4498.000,3163.500,3463.400
288,3831.250,3777.438,4496.375,3157.500,3424.900
289,3797.375,3737.438,4431.250,3090.750,3461.000
290,3821.250,3772.812,4517.500,3127.750,3420.000
291,3821.750,3746.500,4445.500,3098.500,3435.800
292,3803.250,3792.562,4453.750,3105.500,3423.500
293,3849.250,3769.438,4447.750,3084.000,3404.000
294,3827.875,3743.500,4458.375,3115.250,3467.400
295,3812.625,3785.750,4484.500,3089.500,3419.200
296,3863.125,3759.250,4453.500,3120.500,3418.800
297,3823.375,3772.125,4442.000,3139.250,3443.500
298,3831.250,3755.938,4423.750,3129.250,3431.000
299,3823.750,3760.062,4444.125,3099.250,3439.000
300,3838.250,3730.000,4444.375,3055.250,3410.100
301,3849.750,3749.250,4406.750,3152.250,3448.100
302,3900.250,3758.250,4378.125,3176.000,3456.600
303,3857.250,3796.875,4420.500,3078.250,3431.800
304,3866.000,3823.875,4404.000,3089.000,3422.400
305,3813.750,3795.500,4465.375,3075.250,3397.100
306,3830.500,3811.250,4387.875,3058.000,3407.000
307,3827.875,3822.250,4440.500,3106.500,3431.200
308,3848.375,3821.312,4408.125,3065.750,3439.000
309,3913.000,3837.750,4420.000,3131.250,3463.800
310,3831.500,3829.562,4382.375,3114.000,3375.800
311,3826.375,3789.500,4324.125,3051.750,3428.000
312,3835.875,3853.250,4385.250,3091.750,3401.100
313,3811.125,3799.375,4398.750,3090.000,3344.800
314,3780.625,3796.188,4350.000,3158.750,3414.700
315,3858.500,3825.000,4315.000,3090.250,3426.800
316,3804.125,3821.750,4312.500,3099.250,3418.800
317,3803.500,3773.562,4315.000,3115.250,3442.900
318,3805.750,3804.625,4380.750,3138.000,3391.400
319,3835.375,3812.812,4357.625,3083.000,3410.900
320,3795.875,3795.375,4336.125,3093.000,3390.900
321,3822.625,3772.688,4343.750,3112.750,3425.000
322,3812.750,3764.938,4321.875,3100.500,3393.400
323,3803.875,3762.000,4343.250,3116.750,3444.700
324,3804.875,3771.188,4324.750,3104.500,3395.400
325,3763.125,3763.812,4268.000,3129.500,3425.100
326,3804.500,3737.250,4338.875,3094.000,3386.100
327,3796.750,3719.938,4292.500,3087.750,3416.200
328,3770.750,3716.625,4280.500,3148.750,3414.000
329,3810.500,3748.188,4292.000,3143.000,3413.700
330,3805.250,3753.375,4301.375,3072.250,3415.000
331,3868.000,3774.438,4272.625,3115.500,3398.600
