 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
53,4468.289,4386.833,4469.531,4366.167,3787.615,3871.562,3182.941,3071.333,4339.676,4623.871,4538.385,4819.180,2978.095,3366.864,4254.735,3949.810
54,4462.961,4388.417,4485.156,4392.167,3772.308,3895.688,3175.971,3034.333,4338.189,4628.419,4530.539,4836.459,2987.333,3353.273,4307.618,4008.428
55,4469.442,4360.042,4481.906,4377.583,3798.577,3873.875,3162.647,3015.000,4335.297,4623.548,4529.577,4801.246,2983.310,3348.818,4272.412,3992.714
56,4450.096,4371.792,4479.469,4324.583,3778.577,3894.750,3145.412,3057.000,4348.081,4642.613,4553.500,4820.869,2993.286,3362.864,4282.147,3979.857
57,4457.442,4374.042,4472.938,4340.333,3770.923,3875.875,3187.294,3065.667,4352.595,4602.516,4565.308,4823.771,2975.048,3353.136,4275.382,3984.572
58,4456.365,4373.833,4494.281,4338.833,3791.577,3838.312,3183.177,3134.333,4325.676,4642.355,4555.077,4795.836,2981.357,3366.432,4275.118,3943.190
59,4458.846,4355.125,4504.719,4353.583,3770.039,3912.438,3165.206,3070.333,4323.486,4601.968,4529.231,4812.442,2976.643,3373.318,4278.176,3979.048
60,4466.481,4398.125,4483.688,4364.417,3811.885,3925.000,3159.059,3062.000,4330.189,4601.484,4551.692,4824.065,2990.072,3372.795,4250.324,3972.333
61,4468.615,4381.167,4503.125,4392.167,3788.231,3880.562,3155.677,3077.000,4337.271,4602.387,4570.039,4845.361,3001.905,3367.727,4268.441,4006.857
62,4479.904,4361.583,4473.594,4353.167,3783.115,3875.562,3142.088,3156.667,4331.352,4615.161,4565.461,4831.295,2989.524,3376.795,4268.147,3961.428
63,4465.865,4341.583,4469.906,4335.750,3758.961,3895.500,3151.059,3076.000,4349.567,4642.258,4523.077,4837.558,2973.738,3348.273,4262.176,3999.572
