 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
90,3704.513,4939.536,4444.062,4229.703,3283.750,3810.741,4433.167,4218.125,3161.192,3454.800,4215.545
91,3717.189,4953.000,4444.750,4222.054,3304.350,3807.069,4473.250,4216.000,3159.115,3408.700,4196.545
92,3717.946,4934.000,4454.062,4233.892,3262.750,3803.259,4477.333,4264.250,3152.346,3431.200,4207.727
93,3705.649,4966.893,4463.375,4220.459,3293.250,3810.104,4451.167,4227.125,3163.885,3448.100,4220.182
94,3716.351,4953.357,4493.688,4213.162,3305.950,3796.086,4527.750,4248.375,3154.231,3452.300,4191.909
95,3710.081,4924.964,4464.125,4243.405,3266.200,3798.379,4529.833,4220.375,3165.039,3411.400,4207.636
96,3710.406,4910.179,4399.438,4215.541,3292.500,3796.052,4474.667,4284.750,3154.577,3433.000,4283.455
97,3699.216,4915.964,4424.812,4218.405,3276.000,3805.621,4486.333,4273.875,3155.615,3435.500,4248.273
98,3713.946,4919.857,4467.875,4224.757,3294.650,3793.000,4494.750,4250.375,3140.308,3448.200,4191.091
99,3706.000,4935.214,4436.062,4236.324,3259.650,3793.207,4507.917,4284.000,3162.192,3439.700,4217.636
100,3704.027,4954.071,4434.125,4242.297,3276.600,3824.034,4462.083,4284.625,3167.846,3462.900,4211.545
101,3706.487,4959.679,4427.000,4216.352,3269.100,3786.862,4498.000,4256.750,3173.192,3384.800,4255.636
102,3705.649,4917.500,4456.062,4230.703,3267.250,3789.621,4473.417,4247.125,3142.423,3411.800,4245.182
103,3715.189,4972.179,4422.812,4225.729,3274.000,3828.241,4428.083,4267.125,3170.692,3394.800,4206.364
104,3687.162,4953.036,4462.062,4251.000,3313.400,3811.155,4536.583,4253.875,3176.269,3466.600,4193.545
105,3728.000,4937.964,4482.938,4213.135,3307.700,3829.724,4468.167,4217.375,3150.154,3453.800,4207.636
106,3715.000,4948.429,4431.750,4215.648,3283.150,3827.896,4474.167,4279.500,3156.577,3425.700,4199.727
107,3719.703,4933.857,4470.375,4227.027,3302.900,3801.121,4503.667,4281.500,3150.577,3437.600,4236.636
108,3707.459,4917.571,4445.250,4227.865,3276.250,3798.431,4492.917,4255.250,3264.923,3407.300,4252.545
109,3730.378,4949.393,4470.250,4235.297,3299.700,3808.879,4493.417,4309.500,5146.115,3466.700,4236.909
110,3791.378,4932.500,4496.625,4333.271,3403.750,3865.466,4507.417,4424.750,6737.615,3538.900,4255.909
111,4000.000,4963.893,4559.062,4451.541,3737.500,4021.121,4515.250,4691.375,7550.577,3734.300,4262.091
112,4504.757,5048.000,4640.625,4617.405,4232.750,4311.483,4572.083,4943.000,8025.923,4209.100,4285.000
113,5198.054,5177.607,4812.875,4993.892,4841.000,4667.535,4627.083,5221.750,8425.230,4896.900,4315.545
114,6045.541,5351.071,5073.875,5453.622,5469.850,5017.138,4693.833,5390.375,8621.385,5496.100,4346.000
115,6926.919,5521.107,5461.625,6102.243,6055.900,5329.189,4779.583,5625.750,8727.423,5894.300,4355.091
116,7810.757,5678.250,5773.000,6691.757,6538.100,5636.862,4856.250,5778.625,8705.577,6024.300,4370.273
117,8626.784,5886.071,6010.875,7174.676,7055.150,5935.241,4891.250,5950.750,8733.654,6120.600,4393.455
118,9355.892,6069.393,6210.125,7445.433,7475.500,6148.328,4988.083,5986.875,8652.230,6109.700,4437.455
119,10072.703,6251.607,6443.000,7562.946,7791.050,6395.052,5060.417,6031.125,8646.230,6160.000,4460.909
120,10665.378,6500.857,6715.625,7600.757,8033.800,6562.793,5135.833,6110.875,8669.808,6208.500,4464.636
121,11093.135,6789.750,7012.938,7668.595,8208.600,6768.293,5173.750,6176.125,8635.654,6160.200,4515.364
122,11373.162,7152.286,7170.750,7700.378,8378.200,6889.207,5296.333,6260.750,8552.192,6219.800,4590.818
123,11590.486,7500.321,7430.438,7674.541,8435.950,7046.776,5416.167,6308.625,8547.270,6225.500,4530.273
124,11697.352,7879.679,7548.812,7699.433,8534.650,7154.035,5412.833,6377.375,8464.462,6252.300,4601.545
125,11697.243,8165.464,7634.250,7731.892,8530.400,7310.293,5472.833,6400.000,8452.038,6226.300,4633.364
126,11764.973,8497.821,7749.188,7757.378,8599.900,7401.259,5483.083,6497.125,8465.385,6243.500,4650.000
127,11807.703,8683.607,7835.875,7725.811,8620.500,7537.345,5640.917,6435.875,8454.230,6251.200,4742.364
128,11867.271,8910.286,7918.375,7737.081,8572.000,7620.207,5606.333,6460.500,8337.192,6300.100,4807.091
129,11867.892,9119.750,7895.812,7719.703,8621.400,7667.500,5659.583,6558.625,8319.770,6229.300,4883.727
130,11825.486,9311.821,7940.812,7761.000,8656.750,7738.983,5773.083,6553.500,8307.538,6322.100,4892.636
131,11814.946,9601.179,8022.562,7746.919,8679.850,7768.362,5740.667,6576.500,8255.538,6238.500,4972.818
132,11900.514,9779.000,7955.875,7765.946,8699.150,7840.086,5783.250,6640.250,8186.192,6290.300,5042.818
133,11831.838,10040.714,7966.188,7769.352,8640.650,7876.362,5870.750,6597.750,8172.269,6319.900,5106.455
134,11858.162,10186.536,7994.562,7775.243,8691.750,7894.224,5910.417,6580.750,8190.846,6305.200,5191.909
135,11872.622,10367.750,7962.375,7732.324,8702.250,7952.345,5916.583,6697.375,8133.077,6264.900,5209.636
136,11900.703,10489.250,8032.500,7750.433,8676.550,7969.655,5981.417,6665.250,8106.923,6299.000,5281.091
137,11920.648,10695.964,8065.875,7752.352,8678.250,7995.621,5922.083,6611.750,8063.654,6280.700,5342.636
138,11869.838,10829.321,8017.438,7745.027,8680.600,7982.431,6033.833,6677.125,8049.039,6350.400,5390.182
139,11844.676,10929.250,7966.000,7774.622,8664.700,8012.776,6008.917,6715.125,7987.500,6342.100,5477.182
140,11834.865,11045.250,8002.562,7757.352,8691.900,7980.569,6065.000,6697.125,7936.846,6319.900,5423.455
141,11845.784,11225.750,8047.875,7759.622,8699.450,7993.293,6037.333,6644.500,7940.423,6291.100,5497.182
142,11834.216,11290.571,8016.750,7780.459,8639.200,8020.689,6079.583,6749.125,7857.923,6302.300,5498.636
143,11901.271,11383.536,8083.562,7735.108,8711.400,8048.465,6076.333,6741.500,7891.192,6273.000,5497.818
144,11872.135,11376.464,8014.875,7722.027,8680.400,8016.035,6089.583,6682.000,7816.269,6279.500,5512.182
145,11830.189,11473.071,7993.312,7762.784,8692.050,8055.500,6077.750,6777.875,7785.654,6235.600,5566.909
146,11800.081,11451.107,7970.938,7721.865,8690.200,8036.552,6079.250,6839.750,7786.923,6266.800,5508.909
147,11886.324,11497.643,8063.250,7750.676,8650.200,8015.362,6081.833,6772.750,7695.654,6276.400,5564.455
148,11806.324,11509.964,7969.250,7781.189,8663.950,8035.396,6124.667,6764.750,7757.039,6359.300,5565.545
149,11808.189,11531.929,8006.938,7780.946,8679.900,8077.828,6077.583,6840.375,7718.654,6366.800,5567.727
150,11749.324,11579.250,7998.125,7781.541,8610.300,8042.086,6145.583,6782.750,7697.423,6328.600,5592.909
151,11803.378,11614.500,7982.812,7733.135,8694.750,8062.483,6113.500,6823.500,7665.000,6347.000,5572.909
152,11794.378,11617.536,7947.625,7721.433,8691.300,8048.552,6068.250,6808.375,7679.654,6303.900,5616.455
153,11748.405,11602.393,8046.688,7737.622,8678.400,8035.311,6080.667,6832.000,7586.346,6273.200,5588.000
154,11752.271,11554.464,7994.688,7749.189,8675.800,8023.104,6105.167,6740.125,7635.923,6291.100,5566.909
155,11786.243,11590.643,8022.938,7744.271,8670.200,8030.259,6060.250,6837.625,7567.115,6345.400,5558.909
156,11783.946,11583.857,7977.688,7752.189,8676.350,8040.655,6151.667,6825.375,7601.115,6287.800,5610.455
157,11749.216,11589.643,7971.000,7768.459,8674.600,8007.793,6061.417,6767.375,7527.769,6359.800,5613.364
158,11742.324,11612.071,7969.312,7668.784,8629.750,8055.724,6134.417,6815.750,7522.654,6258.000,5543.364
159,11768.378,11665.214,8038.188,7775.081,8678.700,8018.396,6168.333,6731.875,7483.346,6370.300,5578.273
160,11758.567,11699.143,7972.750,7753.729,8664.150,7965.465,6119.333,6908.500,7519.039,6381.000,5584.091
161,11812.271,11622.179,7998.875,7760.378,8625.850,7982.207,6111.667,6844.625,7461.154,6360.800,5613.000
162,11728.324,11619.179,7997.562,7786.000,8612.950,8018.293,6121.000,6800.750,7488.577,6311.100,5553.818
163,11700.027,11648.714,8018.062,7732.729,8632.000,7983.104,6130.417,6815.875,7444.961,6288.000,5568.545
164,11665.703,11652.750,7981.125,7727.541,8600.950,8000.000,6145.083,6800.750,7483.269,6290.400,5584.364
165,11687.135,11606.536,7920.500,7792.378,8634.650,7992.741,6137.500,6801.000,7409.346,6258.800,5586.364
166,11674.865,11639.571,7931.750,7738.459,8608.500,7993.345,6182.500,6802.500,7437.846,6315.900,5580.182
167,11644.811,11605.071,7977.562,7728.297,8642.650,7990.104,6110.750,6904.250,7382.000,6326.300,5552.091
168,11650.081,11671.321,7942.625,7754.352,8589.850,7960.707,6104.250,6845.000,7367.654,6353.300,5600.545
169,11698.324,11619.214,7963.125,7743.648,8589.650,7957.689,6130.333,6784.250,7356.000,6362.200,5604.273
170,11648.757,11649.821,7928.312,7729.595,8572.900,7935.672,6105.000,6883.000,7342.039,6374.200,5586.182
171,11643.271,11589.786,7904.875,7728.648,8606.400,7937.000,6143.000,6955.000,7340.500,6362.700,5520.182
172,11634.162,11544.250,7965.875,7730.622,8616.350,7950.655,6109.250,6858.625,7297.769,6329.900,5598.182
173,11617.081,11569.179,7898.375,7740.000,8584.200,7919.828,6141.750,6927.750,7271.846,6333.400,5558.545
174,11584.703,11568.607,7980.188,7684.541,8582.750,7931.586,6147.417,6888.000,7285.231,6327.600,5541.364
175,11572.946,11603.286,7904.250,7758.946,8585.250,7902.207,6076.833,6850.250,7284.308,6343.300,5501.727
176,11650.622,11559.607,7923.688,7704.378,8539.700,7899.448,6131.167,6896.750,7256.923,6365.500,5534.364
177,11620.514,11612.786,7930.688,7711.271,8567.350,7908.500,6126.500,6823.625,7262.846,6361.700,5573.727
178,11583.648,11548.321,7868.750,7725.271,8567.300,7903.052,6124.333,6842.750,7264.769,6374.600,5545.273
179,11559.162,11588.929,7966.938,7735.135,8634.700,7899.500,6123.417,6846.500,7165.500,6330.600,5552.182
180,11594.189,11550.536,7955.312,7739.243,8574.000,7886.845,6109.000,6870.500,7199.308,6336.300,5544.636
181,11563.703,11600.893,7936.812,7742.892,8600.300,7912.000,6149.667,6817.375,7219.731,6303.900,5534.273
182,11605.486,11536.536,7973.688,7719.946,8527.250,7874.638,6103.500,6844.875,7161.615,6330.600,5514.091
183,11615.297,11490.821,7901.375,7747.919,8497.050,7892.621,6068.333,6803.125,7175.615,6425.800,5550.000
184,11536.757,11496.750,7948.812,7697.243,8623.300,7847.276,6065.917,6803.625,7092.346,6343.500,5503.364
185,11511.892,11506.393,7902.062,7676.324,8542.300,7875.104,6126.583,6816.125,7157.654,6373.900,5524.909
186,11501.486,11514.929,7911.812,7720.000,8532.900,7846.828,6099.583,6827.250,7056.923,6390.000,5553.818
187,11484.271,11449.214,7846.188,7733.892,8563.900,7825.707,6099.083,6737.500,7095.923,6419.100,5467.727
188,11477.324,11462.393,7892.750,7724.703,8517.400,7843.604,6074.833,6847.750,7065.000,6448.600,5487.636
189,11514.676,11476.214,7939.312,7727.405,8462.400,7849.828,6111.750,6818.250,7094.961,6446.900,5528.636
190,11485.405,11486.679,7856.812,7734.729,8568.800,7809.465,6041.250,6812.500,7067.308,6395.700,5523.636
191,11506.811,11387.643,7867.750,7723.216,8523.500,7780.448,6113.083,6809.250,6995.692,6345.000,5476.455
192,11487.838,11386.643,7862.062,7717.297,8492.450,7823.724,6076.583,6824.750,7000.692,6461.100,5530.364
193,11412.757,11392.857,7885.000,7717.243,8497.550,7815.362,6074.083,6781.000,6989.808,6425.000,5502.091
194,11454.297,11396.071,7866.375,7717.162,8522.100,7783.155,6084.667,6829.250,6976.500,6476.700,5451.818
195,11489.352,11382.821,7838.062,7730.433,8452.350,7798.138,6032.583,6837.750,6969.961,6372.300,5491.909
196,11440.054,11335.000,7846.562,7702.405,8469.000,7790.121,6058.250,6789.250,6964.423,6439.500,5436.636
197,11420.081,11387.107,7738.312,7712.648,8443.100,7803.776,6059.750,6774.000,6955.539,6404.800,5491.545
198,11428.729,11360.571,7867.188,7694.108,8476.300,7763.793,6101.333,6795.000,6879.423,6449.000,5413.000
199,11391.405,11328.643,7782.062,7730.216,8422.200,7802.483,6100.750,6830.000,6915.500,6523.900,5467.091
200,11362.189,11314.536,7823.250,7718.676,8437.400,7763.121,6111.750,6797.500,6933.615,6407.800,5497.091
201,11393.595,11330.714,7916.375,7689.135,8432.000,7796.483,6109.500,6776.000,6870.615,6403.700,5480.909
202,11373.433,11380.429,7835.250,7685.622,8418.550,7759.828,6071.583,6796.625,6880.192,6371.700,5441.545
203,11387.352,11372.893,7849.125,7681.352,8470.900,7753.517,6109.500,6775.125,6814.654,6390.800,5466.091
204,11386.324,11358.179,7888.312,7698.892,8425.900,7746.311,6055.083,6826.750,6842.577,6470.700,5497.636
205,11389.405,11401.179,7852.125,7689.189,8418.750,7758.707,6083.167,6777.500,6870.654,6381.000,5476.000
206,11352.378,11330.036,7860.062,7692.784,8412.250,7734.362,6106.417,6827.500,6833.000,6364.800,5432.273
207,11355.729,11406.893,7841.250,7677.838,8367.250,7751.931,6075.333,6736.750,6763.039,6331.600,5483.273
208,11360.297,11344.643,7780.688,7673.271,8365.300,7730.276,6062.917,6715.750,6811.000,6345.200,5397.364
209,11340.135,11354.536,7796.625,7701.784,8402.450,7703.517,6107.667,6745.125,6824.000,6350.800,5437.727
210,11324.108,11322.464,7777.312,7698.865,8396.550,7731.086,6098.083,6730.500,6793.846,6346.300,5455.636
211,11340.054,11389.679,7809.125,7667.541,8419.300,7735.224,6070.500,6731.625,6749.808,6382.100,5379.545
212,11354.352,11348.786,7807.250,7672.378,8365.600,7727.345,6042.500,6768.125,6779.846,6378.000,5415.636
213,11378.973,11353.714,7785.500,7686.271,8368.800,7712.948,6079.000,6827.125,6713.154,6327.600,5444.455
214,11353.892,11349.321,7819.875,7695.622,8339.250,7708.535,6127.833,6763.625,6734.500,6338.700,5406.636
215,11328.081,11449.464,7873.812,7718.729,8341.850,7688.845,6048.583,6810.375,6688.231,6322.900,5431.182
216,11344.433,11444.893,7867.875,7689.622,8342.450,7685.311,6048.833,6732.500,6725.885,6318.100,5424.909
217,11339.729,11431.250,7837.938,7723.433,8319.550,7715.104,6140.417,6767.875,6697.923,6251.300,5449.364
218,11335.567,11479.929,7827.625,7683.216,8330.400,7671.276,6096.083,6814.625,6685.039,6229.400,5428.000
219,11370.703,11457.571,7844.000,7680.405,8356.700,7669.345,6065.917,6774.125,6686.769,6222.200,5432.545
220,11340.541,11438.679,7831.625,7680.946,8371.350,7672.172,6090.833,6749.875,6685.577,6222.100,5387.909
221,11363.622,11438.107,7827.000,7697.081,8316.850,7684.879,6085.583,6732.500,6670.769,6199.800,5438.273
222,11266.486,11482.571,7820.500,7686.784,8387.950,7694.483,6045.000,6724.000,6643.346,6276.000,5394.182
223,11336.838,11469.786,7792.625,7698.757,8328.600,7657.500,6036.500,6766.000,6688.539,6230.600,5396.364
224,11359.811,11478.893,7900.688,7688.324,8337.550,7661.724,6084.000,6717.750,6628.577,6231.300,5403.000
225,11320.000,11463.393,7790.625,7634.946,8347.300,7661.448,6077.417,6688.750,6604.115,6183.500,5433.818
226,11384.081,11467.071,7842.562,7671.108,8337.300,7650.241,6035.583,6697.000,6580.423,6178.800,5389.091
227,11324.757,11457.107,7778.062,7654.567,8283.500,7643.689,6028.750,6721.625,6589.885,6206.100,5410.455
228,11316.108,11492.393,7824.938,7682.081,8293.200,7694.793,6073.500,6721.625,6552.769,6144.300,5329.182
229,11376.135,11475.179,7812.750,7676.108,8252.900,7683.000,6083.333,6674.875,6526.346,6199.700,5363.273
230,11333.243,11431.929,7793.875,7684.378,8324.150,7603.259,6042.500,6692.125,6570.308,6167.000,5400.364
231,11302.352,11370.321,7739.188,7655.162,8325.600,7630.052,6061.500,6686.125,6532.192,6192.500,5391.091
232,11328.081,11408.821,7810.438,7678.622,8256.650,7630.000,6024.250,6742.625,6494.231,6205.800,5373.091
